pair_id,gt_found,gt_x,gt_y,total_cands,hit_1,hit_5,hit_10,hit_20,hit_50,hit_100,hit_200,hit_300,hit_500,hit_800,min_err_200,min_err_800
pair_085,1,493.2118378807493,528.2201001132426,800,False,False,False,False,False,False,False,False,False,False,12.553308665837148,12.553308665837148
pair_086,1,457.2317665936316,402.1450954048615,347,False,False,False,False,False,False,False,False,False,False,39.96839993783849,39.96839993783849
pair_087,1,561.7446930867666,483.7465478031667,370,True,True,True,True,True,True,True,True,True,True,0.07552470193673866,0.07552470193673866
pair_088,1,583.2712298593958,635.7661564221528,309,True,True,True,True,True,True,True,True,True,True,0.09277495110569763,0.09277495110569763
pair_089,1,614.8318201722535,401.1196743368377,800,True,True,True,True,True,True,True,True,True,True,0.07851600533896133,0.07851600533896133
pair_090,1,348.0227842198753,417.5201754337889,800,False,True,True,True,True,True,True,True,True,True,0.08351139742642474,0.08351139742642474
pair_091,1,379.7392538864404,530.2769969644571,296,False,False,False,False,False,False,False,True,True,True,12.006678220067059,0.031976499147609326
pair_092,1,394.9167445159693,370.2205651297191,800,False,True,True,True,True,True,True,True,True,True,0.12554645690734278,0.12554645690734278
pair_093,1,567.0186268370562,513.5688143928033,800,True,True,True,True,True,True,True,True,True,True,0.035161235410889884,0.035161235410889884
pair_094,1,449.5703586355875,474.1917687819448,800,False,False,False,False,False,False,False,False,False,False,6.915085932473062,5.502412362004655
pair_095,1,631.1139006707233,614.2538407644836,800,False,True,True,True,True,True,True,True,True,True,0.10768381019255913,0.10768381019255913
pair_096,1,505.2391638206021,450.6249223056501,286,False,False,False,False,True,True,True,True,True,True,0.14181980183184323,0.14181980183184323
pair_097,1,537.0184363712208,462.41633390964097,261,True,True,True,True,True,True,True,True,True,True,0.06508828164066706,0.06508828164066706
pair_098,1,461.6327010787445,639.9432626594256,304,False,False,False,True,True,True,True,True,True,True,4.748657891385914,4.748657891385914
pair_099,1,416.78169962655215,408.8498950698431,591,True,True,True,True,True,True,True,True,True,True,0.061810344607770316,0.061810344607770316
pair_100,1,496.712138592475,472.12093617651897,800,True,True,True,True,True,True,True,True,True,True,0.09415192296587688,0.09415192296587688
pair_101,1,617.5774100773461,658.7671096154937,711,False,False,True,True,True,True,True,True,True,True,0.14677930271950743,0.14677930271950743
pair_102,1,558.7407932360767,654.2146527026613,286,False,False,False,False,False,False,False,False,False,False,5.622717753819463,5.622717753819463
pair_103,1,461.1148644304402,582.1891739864284,800,True,True,True,True,True,True,True,True,True,True,0.0870597862479061,0.0870597862479061
pair_104,1,460.7330676441381,384.13561333368057,800,False,False,False,False,False,False,False,False,False,False,11.870743384563122,11.870743384563122
pair_105,1,390.3853169977744,437.6805911482167,282,False,True,True,True,True,True,True,True,True,True,0.1481289661334521,0.1481289661334521
pair_106,1,352.88208754607297,448.0910614383217,298,False,False,False,True,True,True,True,True,True,True,0.14140141053242622,0.14140141053242622
pair_107,1,551.9226562884385,330.6893994609432,800,False,False,False,False,False,True,True,True,True,True,0.04642703167872808,0.04642703167872808
pair_108,1,419.0241100659799,415.0396710952816,800,False,False,False,False,False,False,False,False,False,False,75.65113845043108,42.434449656278275
pair_109,1,595.0376202297144,558.3261749532121,290,False,True,True,True,True,True,True,True,True,True,0.034260034040954145,0.034260034040954145
pair_110,1,422.7339868744404,608.8382082352778,800,False,False,False,False,False,False,False,False,False,True,6.175686618528696,2.557284746165983
pair_111,1,641.9649092431109,514.1642988479941,800,False,True,True,True,True,True,True,True,True,True,0.05396228051464787,0.05396228051464787
