pair_id,set_type,gt_present,gt_rank,win_err,gt_corr_score,win_corr_score,c2_corr_score,c3_corr_score,diff_gt_win_corr_score,gt_psr,win_psr,c2_psr,c3_psr,diff_gt_win_psr,gt_phase_residual,win_phase_residual,c2_phase_residual,c3_phase_residual,diff_gt_win_phase_residual,gt_phase_penalty,win_phase_penalty,c2_phase_penalty,c3_phase_penalty,diff_gt_win_phase_penalty,gt_context_32,win_context_32,c2_context_32,c3_context_32,diff_gt_win_context_32,gt_context_64,win_context_64,c2_context_64,c3_context_64,diff_gt_win_context_64,gt_context_128,win_context_128,c2_context_128,c3_context_128,diff_gt_win_context_128,gt_context_combined,win_context_combined,c2_context_combined,c3_context_combined,diff_gt_win_context_combined,gt_ssd,win_ssd,c2_ssd,c3_ssd,diff_gt_win_ssd,gt_dist_to_center,win_dist_to_center,c2_dist_to_center,c3_dist_to_center,diff_gt_win_dist_to_center,gt_nearest_edge_dist,win_nearest_edge_dist,c2_nearest_edge_dist,c3_nearest_edge_dist,diff_gt_win_nearest_edge_dist,gt_nearest_cut_dist,win_nearest_cut_dist,c2_nearest_cut_dist,c3_nearest_cut_dist,diff_gt_win_nearest_cut_dist,gt_row_spacing,win_row_spacing,c2_row_spacing,c3_row_spacing,diff_gt_win_row_spacing,gt_col_spacing,win_col_spacing,c2_col_spacing,c3_col_spacing,diff_gt_win_col_spacing,gt_local_density,win_local_density,c2_local_density,c3_local_density,diff_gt_win_local_density,gt_family_population,win_family_population,c2_family_population,c3_family_population,diff_gt_win_family_population
pair_020,SetA,0,-1,259.0582228353053,,0.809697687625885,0.8095722198486328,0.8090271949768066,,,2.587635040283203,2.5932235717773438,2.645615816116333,,,0.06103482097387314,0.05786990374326706,0.0555642731487751,,,0.05,0.125,0.125,,,0.7601675448026158,0.7572563740148588,0.7669154339627324,,,0.7933557887213546,0.7932455684756571,0.7903061172881632,,,0.7992231463300419,0.7964603915314103,0.7940874963299841,,,0.7890650829810818,0.7873336588057989,0.7871405322398055,,,2298.554931640625,2269.31884765625,2184.51806640625,,,334.5235417724738,350.0228563965502,224.8599564173221,,,0.0,1.0,1.0,,,1.0,2.23606797749979,2.23606797749979,,,8.0,9.0,5.0,,,2.0,2.0,2.0,,,83.0185546875,83.810791015625,84.959716796875,,,14,14,18,
pair_023,SetA,1,4,172.13285475673703,0.8657007217407227,0.8701419234275818,0.8686380386352539,0.8664512038230896,-0.004441201686859131,3.265169858932495,3.2918829917907715,3.283757448196411,3.2943179607391357,-0.026713132858276367,0.16127748787403107,0.07999567687511444,0.0784752294421196,0.09652028232812881,0.08128181099891663,0.0,0.05,0.05,0.09358541225631423,-0.05,0.8565679051532014,0.8534232794462516,0.8481868025075637,0.8433969005401681,0.003144625706949733,0.8634932804073092,0.8633376785769581,0.8695140794779375,0.8627588960497141,0.0001556018303511264,0.8579738988489386,0.8650966048450277,0.8614544330928326,0.8602735120275286,-0.007122705996089107,0.8599004527331395,0.8620583692580446,0.8620247655298208,0.8578923433389307,-0.002157916524905046,1912.6529541015625,1919.65478515625,2019.68798828125,1883.5206298828125,-7.0018310546875,154.94515158597252,55.226805085936306,372.38823826753713,323.3032632065442,99.71834650003622,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,0.0,0.0,6.0,7.0,7.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,80.588134765625,80.0322265625,77.780517578125,80.087646484375,0.555908203125,2.0,2,2,1,0.0
pair_025,SetA,1,2,400.46798233740606,0.8413351774215698,0.8374168872833252,0.8413351774215698,0.8382293581962585,0.003918290138244629,1.7107627391815186,1.6884874105453491,1.7107627391815186,1.7085171937942505,0.022275328636169434,0.14048507809638977,0.04574231430888176,0.14048507809638977,0.04394327849149704,0.09474276378750801,0.05,0.05,0.05,0.16249999999999998,0.0,0.8027008864392061,0.5860885662129991,0.8027008864392061,0.6519685432608663,0.21661232022620702,0.7785723634968614,0.7170464152690218,0.7785723634968614,0.7094122920767014,0.06152594822783963,0.5176651568658177,0.7859123641802759,0.5176651568658177,0.7164857947124368,-0.26824720731445817,0.679035185432913,0.718401225022319,0.679035185432913,0.7007529433678286,-0.03936603958940599,1840.7490234375,1881.6353759765625,1840.7490234375,1940.4490966796875,-40.8863525390625,121.49279814046592,392.9153852930679,121.49279814046592,208.236644229588,-271.422587152602,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,0.0,3.5355339059327378,3.5355339059327378,3.5355339059327378,3.5355339059327378,0.0,2.0,0.0,2.0,0.0,2.0,148.0,0.0,148.0,0.0,148.0,114.375244140625,114.88818359375,114.375244140625,113.378173828125,-0.512939453125,3.0,1,3,1,2.0
pair_027,SetA,1,6,242.36186385887112,0.8401697874069214,0.8481721878051758,0.8522317409515381,0.8503561019897461,-0.008002400398254395,2.4443705081939697,2.4625535011291504,2.4759674072265625,2.4712541103363037,-0.018182992935180664,0.08862969279289246,0.045242562890052795,0.048384424299001694,0.0436144657433033,0.04338712990283966,0.09358541225631423,0.05,0.125,0.125,0.043585412256314224,0.7882246309457381,0.762709505059609,0.7356615670126957,0.7660540963449771,0.025515125886129142,0.7803188572880386,0.8036480093244784,0.6805698937108621,0.6418235099253509,-0.023329152036439815,0.750341726720253,0.7888615720345015,0.7721924564209144,0.7874682697175724,-0.03851984531424846,0.7699091597924643,0.7895457335555138,0.7282372534552497,0.7249275311261648,-0.019636573763049503,1972.752685546875,1856.3621826171875,1834.1923828125,1861.82421875,116.3905029296875,130.024997596616,351.1075333854288,339.49153155859426,315.37675881396206,-221.08253578881278,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,1.5811388300841898,1.5811388300841898,2.1213203435596424,1.5811388300841898,0.0,9.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,0.0,111.22802734375,112.098388671875,112.09423828125,112.54541015625,-0.870361328125,6.0,24,24,24,-18.0
pair_029,SetA,0,-1,271.71349140325077,,0.8779050707817078,0.876437246799469,0.8770092129707336,,,2.3593618869781494,2.350163698196411,2.3536603450775146,,,0.06277532875537872,0.04937409237027168,0.05808985233306885,,,0.05,0.05,0.05,,,0.5851061991003353,0.598502969543746,0.8064206163570562,,,0.7342910151076665,0.7462718359333771,0.7325414957310059,,,0.8479949363517442,0.8462073785969757,0.6842067767719905,,,0.7499356204038313,0.7566922797208904,0.7279834322726098,,,1692.3162841796875,1741.6905517578125,1694.3712158203125,,,190.4008928550494,112.43887228178696,177.79904386694548,,,0.7071067811865476,0.7071067811865476,0.7071067811865476,,,1.5811388300841898,0.7071067811865476,0.7071067811865476,,,2.0,2.0,0.0,,,23.0,23.0,23.0,,,115.9033203125,114.65576171875,116.079345703125,,,3,3,3,
pair_031,SetA,0,-1,384.8929300737006,,0.8406174182891846,0.8396981358528137,0.8398969769477844,,,1.6828336715698242,1.781637191772461,1.7670539617538452,,,0.063433937728405,0.057041529566049576,0.06456806510686874,,,0.0875,0.05,0.05,,,0.7414984806231578,0.7352286994560678,0.7350637364644431,,,0.6995797283941045,0.7222630384137447,0.7038104813482284,,,0.7725461446599222,0.7699342261976538,0.7691692132134907,,,0.7371500453462423,0.743924645735773,0.7362046251175763,,,1907.4244384765625,1886.581298828125,1675.943115234375,,,357.1141274158725,433.30416568503006,433.4864473083328,,,0.7071067811865476,0.7071067811865476,0.7071067811865476,,,0.7071067811865476,0.7071067811865476,0.7071067811865476,,,8.0,8.0,8.0,,,164.0,22.0,22.0,,,113.5068359375,114.293701171875,117.5849609375,,,50,50,50,
pair_038,SetA,0,-1,257.7357647079729,,0.7915728688240051,0.789529025554657,0.7903620600700378,,,2.57308030128479,2.5761618614196777,2.577946424484253,,,0.0491642951965332,0.05741879716515541,0.0576603077352047,,,0.05,0.05,0.125,,,0.7985529953706053,0.8064517312563176,0.8045418111682873,,,0.8032101768433066,0.8049345767215595,0.7953801273762242,,,0.8031187329291791,0.8032735238167891,0.79019921535316,,,0.8022421629831155,0.804573586466603,0.7951400993254112,,,2220.435546875,2393.326904296875,2243.4248046875,,,292.72683512107324,302.47644536393244,265.5051788572118,,,1.0,1.0,1.0,,,2.23606797749979,2.0,2.0,,,31.0,5.0,31.0,,,2.0,2.0,2.0,,,91.33837890625,89.172607421875,91.02734375,,,5,12,5,
pair_039,SetA,1,4,162.01685528498157,0.8616511225700378,0.8713593482971191,0.8685648441314697,0.8651853203773499,-0.009708225727081299,2.542841672897339,2.5851902961730957,2.571193218231201,2.5461323261260986,-0.042348623275756836,0.11437303572893143,0.06937962025403976,0.06313063949346542,0.061474137008190155,0.04499341547489166,0.05,0.05,0.05,0.05,0.0,0.7989823577652146,0.8245541179461514,0.8326298937454253,0.809203567943205,-0.025571760180936765,0.7258367739492584,0.7670272875790223,0.773838840954144,0.7431159529431148,-0.04119051362976389,0.7675633693808788,0.7927185744508493,0.8040777562375775,0.772146800694281,-0.025155205069970488,0.7571565288850979,0.7888091684011789,0.7976926176257737,0.7679458150435994,-0.031652639516080994,2020.2562255859375,1886.56005859375,1909.7208251953125,1949.7415771484375,133.6961669921875,101.54801819828883,87.8179936004006,255.4094751570505,399.66235749692515,13.730024597888232,1.0,0.0,0.0,1.0,1.0,2.23606797749979,2.0,1.0,2.0,0.2360679774997898,0.0,0.0,0.0,811.0,0.0,0.0,0.0,0.0,12.0,0.0,101.080322265625,101.22998046875,102.085693359375,101.67138671875,-0.149658203125,1.0,1,1,3,0.0
pair_042,SetA,0,-1,21.44706137955736,,0.8275103569030762,0.8316231966018677,0.8297901749610901,,,2.6893868446350098,2.7373385429382324,2.7058818340301514,,,0.04854464903473854,0.04617046192288399,0.06923069804906845,,,0.05,0.125,0.05,,,0.8027115148005577,0.4853681756837289,0.47788297474158425,,,0.6760686084524248,0.6765094661916007,0.7224616909174197,,,0.663675028609052,0.7181031880189321,0.6670147964631078,,,0.6964397577847022,0.6549186968209589,0.6513671899005278,,,2240.560791015625,2287.76611328125,2153.807861328125,,,191.6781156000862,267.8479046025935,366.5849151288143,,,0.7071067811865476,0.7071067811865476,0.7071067811865476,,,0.7071067811865476,0.7071067811865476,0.7071067811865476,,,2.0,2.0,2.0,,,16.0,16.0,16.0,,,85.335205078125,85.00830078125,86.857177734375,,,12,6,4,
pair_043,SetA,0,-1,355.30176863811664,,0.872938871383667,0.8733606338500977,0.8713357448577881,,,1.762679934501648,1.7643712759017944,1.7931684255599976,,,0.04142548516392708,0.04538935422897339,0.032739389687776566,,,0.12961646096066226,0.09358541225631423,0.11020817282989959,,,0.7734239346291988,0.7544086351014901,0.7858419188145239,,,0.8334717693421215,0.8291581858250064,0.833971018915753,,,0.8249383580675059,0.8251128723594391,0.8226001549936219,,,0.8180488378896908,0.8125901502940763,0.8197968533266549,,,1902.2283935546875,1895.1512451171875,1921.2899169921875,,,292.6610667649525,306.5623916921317,278.7696181437281,,,0.7071067811865476,0.7071067811865476,0.7071067811865476,,,0.7071067811865476,0.7071067811865476,1.5811388300841898,,,7.0,7.0,7.0,,,0.0,0.0,0.0,,,108.824462890625,109.049560546875,108.570556640625,,,8,8,8,
