pair_id,runtime,presence,found,top1,top5,top10,top20,top50,top100,top200,deep_pool,gt_rank,best_gterr,sel_err,cls
v00014,5.141108512878418,0.7903432341664034,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0412026672875168,,R2
v00015,5.306926965713501,0.8825561133665,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7062468132674327,2.4446516779101444,R1
v00016,5.907486438751221,0.8898068835608536,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9153918355408733,0.7620189522801242,R1
v00017,5.114549160003662,0.8981438619629405,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8322941971246174,0.7572289229339145,R1
v00018,6.1366894245147705,0.7387533966414651,0,,,,,,,,,,,,ABSENT
v00019,5.423235177993774,0.7419379365143969,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1636525431417135,,R1
v00020,5.144895315170288,0.8672651082267434,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.164916504257384,0.7251111120483148,R1
v00021,4.550210952758789,0.711820196630373,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,38.0,0.2654686775808295,,R2
v00022,6.5222485065460205,0.894077037267588,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45675974232108213,0.653025950500938,R1
v00024,5.529731035232544,0.7904398659056115,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.186818060176333,,R1
v00025,5.922067165374756,0.8515401139704174,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1136923506696723,0.7979850042924502,R1
v00026,5.104844808578491,0.7673808901421421,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,29.0,0.7835171002016617,,R2
v00027,4.710713624954224,0.772365515781286,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,32.0,0.9201589978754748,,R2
v00028,5.459146738052368,0.9195638962077479,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55.0,0.22500351311912778,434.37564475712,R2
