pair_id,rank,cx,cy,gterr,corr_score,psr,context_combined,grad_ncc,phase_penalty,neigh_cons,family,dist_to_center,v25
v00056,3,491.0,662.0,239.58513461665393,0.562320351600647,0.0,0.660089176547297,0.305534690618515,0.05,0.22044910490512848,170,162.24980739587951,0.5606694540548931
v00056,4,674.0,507.0,0.7442997816031303,0.7210109829902649,0.0,0.7973923651473891,0.4334001839160919,0.05,0.28238658234477043,170,174.14074767268,0.5418568699332165
v00056,5,444.0,488.0,230.11742859878123,0.5214843153953552,0.0,0.5089516480246915,0.3160254955291748,0.05885254915624212,0.22278650617226958,170,57.271284253105414,0.5015358541203009
v00056,6,599.0,502.0,74.50635277677468,0.5269224643707275,0.0,0.4891878831823156,0.3365447223186493,0.05,0.23553593643009663,170,99.02019995940222,0.4786026043909172
v00056,7,563.0,499.0,110.62568621204981,0.5240429043769836,0.0,0.49813068683126394,0.34560027718544006,0.05,0.23831289424560964,170,63.00793600809346,0.4452787638726111
v00056,8,508.0,494.0,165.84375883442536,0.7099924683570862,0.0,0.7152157660707035,0.4376649260520935,0.05,0.2782241851091385,170,10.0,0.42461760019427974
v00056,9,426.0,487.0,248.1397577544253,0.5422206521034241,0.0,0.49840382635244374,0.3511866629123688,0.05,0.250781049951911,170,75.13321502504735,0.41483092232122837
v00056,10,390.0,484.0,284.26428763426225,0.5425425171852112,0.0,0.5092401959204392,0.3452026844024658,0.05,0.22746192198246717,170,111.15754585272202,0.4068444313901793
v00056,11,590.0,501.0,83.55217118804998,0.5307681560516357,0.0,0.5087777050911365,0.3536009192466736,0.05,0.25481584668159485,170,90.00555538409837,0.4058976557892812
v00056,12,608.0,502.0,65.52600153166316,0.5345779061317444,0.0,0.5233656221618016,0.34220758080482483,0.05,0.22587863774970174,170,108.01851693112621,0.4008243422768646
v00056,13,417.0,486.0,257.1908009330133,0.5441805720329285,0.0,0.5087498297418022,0.35385435819625854,0.05,0.2548680664040148,170,84.17244204607586,0.36673901461613534
v00056,14,581.0,500.0,92.59985969955473,0.5324596762657166,0.0,0.5221488246210713,0.35356926918029785,0.05,0.25108522549271584,170,81.0,0.36673901461613534
v00056,15,500.0,493.0,173.8970799470096,0.5062592029571533,0.0,0.4915407066417693,0.40088406205177307,0.05,0.19134196639060974,170,7.0,0.3580141832526781
v00056,16,572.0,499.0,101.64891894416402,0.5270628333091736,0.0,0.5333509948614941,0.3423062860965729,0.0875,0.2496033707575407,170,72.00694410957877,0.31460932460661356
v00056,17,526.0,495.0,147.8203095343172,0.48358869552612305,0.0,0.5123291895091872,0.34808292984962463,0.05,0.2531342934817076,170,26.476404589747453,0.25242062203085874
v00056,18,519.0,326.0,237.59130408672019,0.6615682244300842,0.0,0.7416822444467142,0.2727876603603363,0.05,0.26560627296566963,170,175.03428235634297,0.1055797555202292
v00056,19,554.0,498.0,119.6737697075968,0.5320820808410645,0.0,0.5136687932170457,0.3566458225250244,0.08106601717798213,0.2420136220753193,170,54.037024344425184,0.08750816519447972
v00056,20,408.0,485.0,266.24213939702497,0.540918231010437,0.0,0.5172127633241643,0.3418288230895996,0.16249999999999998,0.25141393998637795,170,93.2148056909416,0.05599336966704245
v00057,1,485.5,421.5,165.80067717100238,0.6954843997955322,0.0,0.7495290930378218,0.562859296798706,0.0,0.0,169,79.82793997091494,0.8772747513715083
v00057,2,651.5,413.5,0.46705171939296497,0.840798020362854,0.0,0.8579331262195877,0.6755114197731018,0.0,0.0,169,174.45486522307138,0.7069687765582185
v00057,3,493.5,588.5,235.67698440838177,0.6447104215621948,0.0,0.6598667175792408,0.3020355701446533,0.05,0.0,169,88.73837952092657,0.4424103227628875
