pair_id,set_type,dist_to_replica,delta_corr_score,gt_corr_score,replica_corr_score,delta_fft_gradient_score,gt_fft_gradient_score,replica_fft_gradient_score,delta_psr,gt_psr,replica_psr,delta_peak_margin,gt_peak_margin,replica_peak_margin,delta_context_32,gt_context_32,replica_context_32,delta_context_64,gt_context_64,replica_context_64,delta_context_128,gt_context_128,replica_context_128,delta_phase_residual,gt_phase_residual,replica_phase_residual,delta_template_residual,gt_template_residual,replica_template_residual,delta_center_prior,gt_center_prior,replica_center_prior,delta_score_combined,gt_score_combined,replica_score_combined
pair_023,SetA,171.6566340110396,-0.004441201686859131,0.8657007217407227,0.8701419234275818,-0.034618914127349854,0.5455336570739746,0.5801525712013245,-0.026713132858276367,3.265169858932495,3.2918829917907715,0.004582166671753,0.0060860514640808,0.0015038847923278,0.003144625706949733,0.8565679051532014,0.8534232794462516,0.0001556018303511264,0.8634932804073092,0.8633376785769581,-0.007122705996089107,0.8579738988489386,0.8650966048450277,0.08128181099891661,0.161277487874031,0.0799956768751144,-7.0018310546875,1912.6529541015625,1919.65478515625,99.7183465000362,154.94515158597252,55.22680508593631,0.030252303244639456,0.9210000474924528,0.8907477442478133
pair_025,SetA,148.75819305167698,0.004851281642913818,0.8413351774215698,0.836483895778656,0.016681313514709473,0.7161388993263245,0.699457585811615,-0.00015783309936523438,1.7107627391815186,1.7109205722808838,0.002934992313385,0.0031058192253112,0.0001708269119262,0.07619291126097638,0.8027008864392061,0.7265079751782297,0.06022328436400759,0.7785723634968614,0.7183490791328538,-0.09365764108179586,0.5176651568658177,0.6113227979476136,0.0934614799916744,0.1404850780963897,0.0470235981047153,-117.95263671875,1840.7490234375,1958.70166015625,-90.85714888095437,121.49279814046592,212.3499470214203,0.07864607516134337,0.7710453773801623,0.692399302218819
pair_026,SetA,33.06055050963308,-0.0046117305755615234,0.7092188000679016,0.7138305306434631,0.00834190845489502,0.4889417290687561,0.4805998206138611,-0.02046036720275879,2.685624837875366,2.706085205078125,-0.0009773373603821,0.0005356669425964,0.0015130043029785,-0.030909520525213674,0.5745180856674054,0.605427606192619,-0.04643645719150258,0.5058767436365456,0.5523132008280481,-0.0004932384774244403,0.7006505006158895,0.701143739093314,0.014179553836584098,0.0586829409003257,0.0445033870637416,10.027099609375,2185.924560546875,2175.8974609375,-10.048303088036675,118.8276062201036,128.87590930814028,0.023811203823892346,0.6499411650088792,0.6261299611849869
pair_028,SetA,203.0221662774782,0.06352996826171875,0.7668560743331909,0.7033261060714722,0.09023696184158325,0.597370982170105,0.5071340203285217,0.4056463241577153,3.1648268699646,2.7591805458068848,-0.0027282238006592005,0.005771517753601,0.0084997415542602,0.10352678034211671,0.6952210341286137,0.591694253786497,0.06185427111472497,0.7649232196787615,0.7030689485640366,0.09960675013013198,0.7561933962378148,0.6565866461076828,0.0210717990994454,0.0812380015850067,0.0601662024855613,-80.923828125,1906.6087646484373,1987.5325927734373,-80.35053438022464,63.90618123468183,144.25671561490648,0.09432918815145053,0.7689464415315803,0.6746172533801298
pair_033,SetA,100.04498987955368,0.08492416143417347,0.9072321653366088,0.8223080039024353,0.1252923607826233,0.712332010269165,0.5870396494865417,0.4671306610107422,2.864145040512085,2.3970143795013428,0.0323308110237122,0.0341224670410156,0.0017916560173034,0.1694434502270613,0.8221466486835071,0.6527031984564458,0.09977952909186771,0.8584255792366646,0.7586460501447969,0.08971573088637919,0.8368770937548803,0.7471613628685011,0.1257253848016262,0.1804239600896835,0.0546985752880573,-302.181640625,1725.6199951171875,2027.8016357421875,-99.78356357817101,84.74963126763443,184.53319484580544,0.1727116228255522,0.9489424155797744,0.7762307927542222
pair_035,SetA,145.1240848377691,0.00837719440460205,0.8821321129798889,0.8737549185752869,0.002158939838409424,0.6878730058670044,0.685714066028595,0.04439973831176758,3.1188931465148926,3.074493408203125,0.0040143132209778006,0.0059605836868286,0.0019462704658508,0.019561489248298036,0.8763096913341785,0.8567482020858804,-0.016452444584371673,0.8083776106081954,0.824830055192567,0.012886338429569433,0.8382209945360983,0.8253346561065289,0.044830657541751896,0.096950925886631,0.0521202683448791,-24.9215087890625,1763.4599609375,1788.3814697265625,43.47283679033865,161.37533888422976,117.90250209389112,-0.0005920649338873041,0.8670179547903634,0.8676100197242507
pair_037,SetA,150.4027925272666,0.005272865295410156,0.8756048679351807,0.8703320026397705,0.021594226360321045,0.6675781607627869,0.6459839344024658,0.0036449432373046875,2.7656359672546387,2.761991024017334,-0.0046866536140442,0.0002112388610839,0.0048978924751281,0.0528035619186491,0.8117451458635199,0.7589415839448708,0.03553263451441424,0.851045777075369,0.8155131425609548,0.00046965034261881033,0.8356277757591096,0.8351581254164908,0.10132595896720889,0.1487937867641449,0.047467827796936,-25.781005859375,1849.4053955078125,1875.1864013671875,63.88873203268213,161.75598906995685,97.86725703727473,0.005480299540239653,0.8645271326018227,0.859046833061583
pair_039,SetA,91.19758768739445,0.06305849552154541,0.8616511225700378,0.7985926270484924,0.07626152038574219,0.586052656173706,0.5097911357879639,0.4070241451263428,2.542841672897339,2.135817527770996,0.008848488330841,0.0097836256027221,0.0009351372718811,0.22385309830756717,0.7989823577652146,0.5751292594576475,0.07956501799395321,0.7258367739492584,0.6462717559553052,0.018827981557598905,0.7675633693808788,0.7487353878232799,0.0853423699736595,0.1143730357289314,0.0290306657552719,-69.08264160156273,2020.2562255859373,2089.3388671875,-64.05693341850309,101.54801819828884,165.60495161679194,0.0908539283783415,0.8257051902859344,0.7348512619075929
pair_041,SetA,35.0,0.18273347616195668,0.9148983359336852,0.7321648597717285,0.17505216598510742,0.6898836493492126,0.5148314833641052,0.6675796508789062,3.3275399208068848,2.6599602699279785,-0.7163101434707642,0.0158547163009643,0.7321648597717285,-0.0011367412792193665,0.8740821805254315,0.8752189218046509,-0.011181651259603465,0.8551668883059498,0.8663485395655532,0.1594155771781921,0.8907861497710494,0.7313705725928573,0.0962333641946316,0.1366878449916839,0.0404544807970523,-878.3590087890625,1674.7298583984375,2553.0888671875,17.724779966602426,217.18655575334307,199.46177578674065,0.21799913955326822,0.8977598680418875,0.6797607284886192
pair_047,SetA,27.018512172212592,0.0016578435897827148,0.8536922335624695,0.8520343899726868,0.0019596219062805176,0.6123137474060059,0.6103541254997253,0.08931088447570801,2.38858699798584,2.299276113510132,-7.021427154550015e-05,0.0013452172279357,0.0014154314994812,-0.023779434771418417,0.8150475470458188,0.8388269818172372,-0.011318242463240313,0.8129412730829497,0.82425951554619,-0.00020969877602050602,0.8010588236879834,0.8012685224640039,0.0659621767699719,0.1083789840340614,0.0424168072640895,-5.267333984375,2052.590576171875,2057.85791015625,-17.792360097775937,11.0,28.792360097775937,-0.000822829033818917,0.8610485580000374,0.8618713870338564
pair_049,SetA,46.04345773288535,0.07164710760116577,0.8790343999862671,0.8073872923851013,0.08467543125152588,0.6654645800590515,0.5807891488075256,0.36456727981567383,2.8318569660186768,2.467289686203003,0.0016336441040038737,0.0016490817070007,1.5437602996826172e-05,0.17273677269512566,0.8504982882964163,0.6777615156012906,0.13134285924629818,0.8586962907047854,0.7273534314584872,0.06005788309046456,0.8411980780286943,0.7811401949382297,0.0659525617957115,0.1421374082565307,0.0761848464608192,-136.11376953125,1864.8775634765625,2000.9913330078125,-14.105550694906185,64.1248781675256,78.23042886243178,0.1016024311389283,0.8887616586807089,0.7871592275417806
pair_051,SetA,140.12851244482687,0.026227116584777832,0.8788166046142578,0.85258948802948,0.08115071058273315,0.7116855382919312,0.630534827709198,0.06691813468933105,2.650045871734619,2.583127737045288,-0.0008269548416137999,0.0045193433761596,0.0053462982177734,0.12125385809516087,0.7300998215538522,0.6088459634586914,-0.010966141706430177,0.706404577177075,0.7173707188835052,0.06556655342941298,0.6688825401115451,0.6033159866821322,0.049702949821949,0.1039949208498001,0.0542919710278511,-205.640869140625,1688.3472900390625,1893.9881591796875,-125.6512800355747,111.90397669430698,237.55525672988168,0.059179319356441495,0.8040201530700475,0.744840833713606
