pair_id,candidate_id,cx,cy,corr_score,fft_intensity_score,fft_gradient_score,peak_margin,psr,context_32,context_64,context_128,phase_dx,phase_dy,phase_residual,scale_consistency,rotation_consistency,periodicity_distance,periodicity_index,template_residual,edge_similarity,center_prior,PACE_score,score_combined,correct
pair_001,0,373.5,522.5,0.8823164701461792,0.8823164701461792,0.7000815868377686,0.0100604891777038,2.73889684677124,0.8498887679767699,0.7947987321160288,0.8070926984426683,0.0,0.0,0.1151579171419143,0.0,0.0,0.0,0.7723731233332807,1784.3585205078125,0.0,128.4854077317732,1.0605045557022097,0.8608080972015991,1
pair_001,1,510.5,523.5,0.8722559809684753,0.8722559809684753,0.6810356378555298,0.0003919005393981,2.695727825164795,0.8440813269384622,0.8103533586896315,0.7640622206179947,0.0,-1.0,0.0877542942762374,0.0,0.0,0.0,0.7723731233332807,1876.4871826171875,0.0,25.739075352467506,1.0465463399887085,0.865024694182311,0
pair_001,2,648.5,524.5,0.8718640804290771,0.8718640804290771,0.6785728335380554,0.0032630562782287,2.705249547958374,0.860231808415843,0.7789833409533411,0.8465009711173231,0.0,-1.0,0.0882460474967956,0.0,0.0,0.0,0.7723731233332807,1820.96630859375,0.0,150.50747489742827,1.0459647178649902,0.8566480649158664,0
pair_001,3,785.5,525.5,0.8686010241508484,0.8686010241508484,0.6692180633544922,0.0008579492568969,2.682852029800415,0.7980166140666319,0.8548117393731061,0.7640505132338083,0.0,0.0,0.1018223240971565,0.0,0.0,0.0,0.7723731233332807,1844.68212890625,0.0,286.63652942358897,1.0414605140686035,0.8253296204211843,0
pair_001,4,235.5,521.5,0.8677430748939514,0.8677430748939514,0.6695188283920288,0.0007203817367553,2.6968204975128174,0.7855843841692538,0.8447346668555595,0.7301192535452804,0.0,1.0,0.082252062857151,0.0,0.0,0.0,0.7723731233332807,1920.0205078125,0.0,265.3723798740178,1.040259599685669,0.8181619471390799,0
pair_001,5,923.5,526.5,0.867022693157196,0.867022693157196,0.6600179076194763,0.0029886364936828,2.667349338531494,0.8659597604287842,0.751355307100145,0.7837056170239793,0.0,0.0,0.0851066708564758,0.0,0.0,0.0,0.7723731233332807,1816.819091796875,0.0,424.32829271685387,1.0392353534698486,0.7923658088891926,0
pair_001,6,141.5,520.5,0.8640340566635132,0.8640340566635132,0.6451143622398376,0.0013917684555053,2.686840057373047,0.8592750926642376,0.7480609601087229,0.7833411200255034,0.0,0.0,0.0758828148245811,0.0,0.0,0.0,0.7723731233332807,1933.667236328125,0.0,359.0856443802787,1.0350946187973022,0.7995788200279652,0
pair_001,7,233.5,862.5,0.8626422882080078,0.8626422882080078,0.6548423171043396,0.0010085701942443,2.7289347648620605,0.843594089471571,0.8057711398217983,0.7891120016519058,0.0,0.0,0.0891565531492233,0.0,0.0,0.0,0.7723731233332807,1858.876953125,0.0,449.9205485416287,1.0331385135650637,0.7953209746644462,0
pair_001,8,645.5,865.5,0.8616337180137634,0.8616337180137634,0.6617182493209839,4.875659942626953e-05,2.720662832260132,0.8264039742530624,0.8469504699307615,0.7458960762229149,0.0,0.0,0.0981934368610382,0.0,0.0,0.0,0.7723731233332807,1786.719970703125,0.0,393.3961108094487,1.031775951385498,0.8016252640442513,0
pair_001,9,370.5,863.5,0.8615849614143372,0.8615849614143372,0.6656007170677185,0.0015413165092468,2.695603370666504,0.8530994045175075,0.8053737612594701,0.7545719365143425,0.0,0.0,0.0904800146818161,0.0,0.0,0.0,0.7723731233332807,1822.5325927734373,0.0,385.8788670036233,1.0316945314407349,0.7988865045083609,0
