pair_id,variant,gt_rank,latency_sec
pair_080,R2,46,0.11007404327392578
pair_080,R3,46,0.13825321197509766
pair_081,R0,2,0.026842594146728516
pair_081,R1,2,0.0614476203918457
pair_081,R2,1,0.0745997428894043
pair_081,R3,1,0.05312752723693848
pair_082,R0,12,0.054437875747680664
pair_082,R1,39,0.09937691688537598
pair_082,R2,47,0.16828155517578125
pair_082,R3,63,0.12637710571289062
pair_083,R0,-1,0.04081892967224121
pair_083,R1,-1,0.0737156867980957
pair_083,R2,-1,0.06423711776733398
pair_083,R3,-1,0.0777137279510498
pair_084,R0,1,0.06553459167480469
pair_084,R1,1,0.06930732727050781
pair_084,R2,4,0.08372950553894043
pair_084,R3,4,0.15716266632080078
pair_085,R0,-1,0.03402972221374512
pair_085,R1,1,0.07074737548828125
pair_085,R2,1,0.06819677352905273
pair_085,R3,64,0.061032772064208984
pair_086,R0,-1,0.0413510799407959
pair_086,R1,-1,0.07480573654174805
pair_086,R2,-1,0.06841158866882324
pair_086,R3,-1,0.087860107421875
pair_087,R0,1,0.07301449775695801
pair_087,R1,1,0.08601140975952148
pair_087,R2,38,0.10009884834289551
pair_087,R3,38,0.0576934814453125
pair_088,R0,1,0.028003931045532227
pair_088,R1,1,0.0621035099029541
pair_088,R2,4,0.06657290458679199
pair_088,R3,4,0.06338238716125488
pair_089,R0,1,0.025352001190185547
pair_089,R1,1,0.09051895141601562
pair_089,R2,1,0.09851193428039551
pair_089,R3,1,0.10300540924072266
pair_090,R0,4,0.03336787223815918
pair_090,R1,4,0.07186651229858398
pair_090,R2,4,0.07951521873474121
pair_090,R3,7,0.07215142250061035
pair_091,R0,-1,0.025807857513427734
pair_091,R1,30,0.07687783241271973
pair_091,R2,30,0.09483861923217773
pair_091,R3,90,0.07199859619140625
pair_092,R0,3,0.0725240707397461
pair_092,R1,3,0.18604016304016113
pair_092,R2,3,0.08238410949707031
pair_092,R3,10,0.10077953338623047
pair_093,R0,1,0.025873184204101562
pair_093,R1,1,0.06312394142150879
pair_093,R2,1,0.06019735336303711
pair_093,R3,2,0.05767035484313965
pair_094,R0,-1,0.04485583305358887
pair_094,R1,7,0.07577347755432129
pair_094,R2,63,0.054169654846191406
pair_094,R3,70,0.05352473258972168
pair_095,R0,2,0.0727238655090332
pair_095,R1,2,0.13324213027954102
pair_095,R2,1,0.10035085678100586
pair_095,R3,1,0.07141280174255371
pair_096,R0,3,0.027210712432861328
pair_096,R1,3,0.05712723731994629
pair_096,R2,3,0.10156440734863281
pair_096,R3,2,0.06961989402770996
pair_097,R0,1,0.035436153411865234
pair_097,R1,1,0.06768417358398438
pair_097,R2,35,0.0777595043182373
pair_097,R3,35,0.06579327583312988
pair_098,R0,1,0.05963611602783203
pair_098,R1,1,0.23271584510803223
pair_098,R2,2,0.2287602424621582
pair_098,R3,2,0.09293246269226074
pair_099,R0,1,0.03228330612182617
pair_099,R1,1,0.06261038780212402
pair_099,R2,1,0.06803250312805176
pair_099,R3,1,0.08130693435668945
pair_100,R0,1,0.032437801361083984
pair_100,R1,1,0.08798551559448242
pair_100,R2,5,0.07772374153137207
pair_100,R3,5,0.12201809883117676
pair_101,R0,5,0.037215232849121094
pair_101,R1,5,0.09125685691833496
pair_101,R2,5,0.07855963706970215
pair_101,R3,6,0.08771395683288574
pair_102,R0,19,0.025085926055908203
pair_102,R1,19,0.05500626564025879
pair_102,R2,19,0.05394268035888672
pair_102,R3,50,0.06150221824645996
pair_103,R0,1,0.035423994064331055
pair_103,R1,1,0.17481637001037598
pair_103,R2,1,0.08719325065612793
pair_103,R3,1,0.09486174583435059
pair_104,R0,-1,0.08276772499084473
pair_104,R1,63,0.07201385498046875
pair_104,R2,76,0.06769013404846191
pair_104,R3,78,0.07018065452575684
pair_105,R0,2,0.0254518985748291
pair_105,R1,2,0.05967354774475098
pair_105,R2,6,0.06522297859191895
pair_105,R3,6,0.06885457038879395
pair_106,R0,13,0.03906965255737305
pair_106,R1,13,0.09035730361938477
pair_106,R2,13,0.10568928718566895
pair_106,R3,45,0.06861543655395508
pair_107,R0,30,0.022850990295410156
pair_107,R1,51,0.05716371536254883
pair_107,R2,52,0.055722951889038086
pair_107,R3,52,0.05773520469665527
pair_108,R0,-1,0.038125038146972656
pair_108,R1,-1,0.06967926025390625
pair_108,R2,-1,0.10121297836303711
pair_108,R3,-1,0.05893993377685547
pair_109,R0,5,0.024633169174194336
pair_109,R1,5,0.061345577239990234
pair_109,R2,39,0.11663627624511719
pair_109,R3,39,0.0812387466430664
pair_110,R0,-1,0.033980607986450195
pair_110,R1,22,0.08685612678527832
pair_110,R2,88,0.06695032119750977
pair_110,R3,94,0.06483268737792969
pair_111,R0,2,0.0309293270111084
pair_111,R1,2,0.057756900787353516
pair_111,R2,2,0.05597209930419922
pair_111,R3,3,0.0596466064453125
pair_112,R0,-1,0.025922775268554688
pair_112,R1,13,0.05927634239196777
pair_112,R2,81,0.05909252166748047
pair_112,R3,99,0.05520486831665039
pair_113,R0,15,0.029016494750976562
pair_113,R1,-1,0.0722506046295166
pair_113,R2,-1,0.0559842586517334
pair_113,R3,37,0.056871891021728516
pair_114,R0,13,0.024653911590576172
pair_114,R1,13,0.1353917121887207
pair_114,R2,13,0.13982677459716797
pair_114,R3,30,0.24904656410217285
pair_115,R0,3,0.031839609146118164
pair_115,R1,3,0.06093597412109375
pair_115,R2,3,0.06062746047973633
pair_115,R3,27,0.05993795394897461
pair_116,R0,1,0.028308868408203125
pair_116,R1,1,0.07389020919799805
pair_116,R2,17,0.25766587257385254
pair_116,R3,17,0.13414335250854492
pair_117,R0,2,0.03243231773376465
pair_117,R1,2,0.08114743232727051
pair_117,R2,2,0.09379339218139648
pair_117,R3,2,0.08359813690185547
pair_118,R0,-1,0.05772066116333008
pair_118,R1,69,0.2421724796295166
pair_118,R2,69,0.25014710426330566
pair_118,R3,77,0.1974201202392578
