pair_id,gap_1_2,relative_gap_1_2,gap_1_3,gap_1_5,relative_gap_1_5,gap_1_10,relative_gap_1_10,gap_1_20,relative_gap_1_20,gap_1_30,gap_1_50,gap_1_100,gap_1_200
pair_018,0.010251401594492171,0.0744457000708476,0.06528484829304525,0.07484193897924926,0.5435023192305125,0.09745644277488019,0.7077288936459677,0.12011806908781199,0.8722976718817715,0.12829537221357834,0.13374449098388916,0.1370076382881644,0.13764135574024147
pair_019,0.0056963491380783715,0.007296669164717641,0.0231379770460739,0.1422900577443279,0.18226471931795513,0.5146517527876502,0.6592369049205333,0.7373980284885131,0.9445610383374096,0.771017156363151,0.7769452190800065,0.7792384672113655,0.780597131941095
pair_020,0.011357052813600887,0.012400331094536966,0.07632256836762774,0.2845467566249573,0.31068570798583406,0.7746623289163013,0.8458241343672607,0.8958435716222132,0.9781372931298205,0.9042737859101146,0.9087722732303286,0.9143415394581487,0.9158158582052699
pair_021,0.6940558335888325,0.8207968056065092,0.7403906830437746,0.7857903703342441,0.9292829115946808,0.81587110031653,0.96485665924565,0.8369030658584435,0.9897292549317424,0.8392504524896109,0.8427961035277758,0.8450881687880757,0.8455313399036717
pair_022,0.22174647816655368,0.2287423030872477,0.4160919631811605,0.4424720031207804,0.4564314431612069,0.8764277747656568,0.9040779783611733,0.938432730115122,0.9680391127463863,0.9587438281017614,0.9632403565379573,0.9683954089945496,0.9693593792362453
pair_023,0.46840980236207175,0.48072958666836957,0.9037131458490004,0.9132244496504824,0.9372434351332731,0.9278008223888481,0.9522031853483681,0.9500770474955255,0.9750653040189481,0.9625018196256809,0.9698236555424077,0.9737113684553115,0.9743219605149015
pair_024,0.006274812201692299,0.2261044576252512,0.013435524854084625,0.01933477520405753,0.696702741102045,0.020657113401442582,0.7443514278366478,0.0235526098807937,0.8486867672820168,0.024791115703030917,0.026206475986638614,0.027251589576034376,0.027693101388195144
pair_025,0.20809501172938785,0.9644151735626176,0.21016600501887292,0.21078425580005944,0.9768784602392906,0.21201006692916516,0.9825594750940283,0.21390785714052807,0.991354773265121,0.21433591902865357,0.21513266969937736,0.2155365088341265,0.21573595477426116
pair_026,0.17605110264531854,0.22247631446731755,0.1765566271301463,0.6136346820476295,0.7754520161473757,0.7036594556807257,0.889216596702125,0.7688871699083224,0.9716450577820819,0.7830054435650112,0.7880203842700644,0.7903642761080844,0.7912452167992228
pair_027,0.0052150087486010355,0.005326082319306599,0.005834883465970164,0.024000316192410165,0.02451149478214286,0.21036512848954825,0.21484565903123465,0.9204488735214359,0.9400533551172463,0.9547560973130891,0.9719146407412367,0.9774008144316614,0.9790766255435157
pair_028,0.15451771144110749,0.16930930927866825,0.1810266345519168,0.3940116258329469,0.431729382964405,0.8415795041310729,0.9221418258050199,0.8996692147672999,0.9857923205754258,0.9034397241804814,0.9080628743978848,0.911778782682939,0.9125874776206544
pair_029,0.14630591721281672,0.6341367082190144,0.17588149346441884,0.2048330217761958,0.8878119261216844,0.21110805749378675,0.9150099408685635,0.22075524992337442,0.9568239629354591,0.22372386694097876,0.2267312608618126,0.23019216916075488,0.23066959841190923
pair_030,0.12611153807241232,0.4920241356557568,0.15467555651708217,0.19479066941788364,0.7599757501895572,0.2093577758309773,0.8168093123795005,0.2292788548104413,0.8945313972578309,0.24133887638263438,0.2490857574034992,0.25496603346724117,0.25624197929519577
pair_031,0.04310790540732869,0.8040620269143867,0.044183520328160884,0.047113995639649436,0.8787848649127769,0.04968139250006627,0.9266727477494464,0.05125163844836037,0.9559614623833245,0.05213722817932735,0.053200798271219936,0.053520710211355745,0.05357316565468452
pair_032,0.06357294822325188,0.07977669812320404,0.08120484407236772,0.11266262725165066,0.14137856832530346,0.25933534195348373,0.3254358633022145,0.7428266168320956,0.9321614999006848,0.7835823162794384,0.792976546371298,0.7963419300743999,0.7968091327818654
pair_033,0.6453769292138603,0.6584455203389085,0.7351156975850965,0.8015745160310976,0.8178060376924453,0.9284321557106997,0.9472324872396093,0.9717895101660966,0.9914678085264694,0.9763180769793866,0.9781806470196611,0.9796458092346004,0.9800732701217095
