pair_id,candidate_a,candidate_b,rank_a,rank_b,score_a,score_b,delta_score,delta_corr,delta_psr,delta_context128,delta_context_combined,delta_neigh,delta_gradient,delta_phase,delta_center,delta_family,label
pair_004,GT,Rank_17,26,17,0.0073734514711256,0.03479974923917638,-0.027426297768050778,-0.06402426958084106,0,-0.09888285416248466,0.05664953785441984,0.002219434129074188,-0.15440988540649414,0.07871323175972941,26.473717307095484,0.0,1
pair_004,GT,Rank_18,26,18,0.0073734514711256,0.027363771400547427,-0.019990319929421827,-0.03446871042251587,0,-0.01719895915302616,0.1599575347038631,-0.0283738586585969,-0.1419827938079834,0.07871323175972941,-24.886092704057745,0.0,1
pair_004,GT,Rank_19,26,19,0.0073734514711256,0.025989638822548445,-0.018616187351422845,-0.05341428518295288,0,-0.05989336337960449,0.07309195810427505,-0.02146884216926992,-0.08063185214996338,0.1162132317597294,-58.7415962519585,0.0,1
pair_004,GT,Rank_20,26,20,0.0073734514711256,0.025257429533947186,-0.017883978062821587,-0.00956428050994873,0,0.007144399765579457,0.13144342270370735,-0.01191410725004971,-0.04139077663421625,0.1162132317597294,-94.72749754454074,0.0,1
pair_005,GT,Rank_1,6,1,0.07716594457460359,0.34089019374740187,-0.2637242491727983,-0.01023721694946289,0,-0.16914408749912357,-0.03353960160906089,-0.004251904785633087,-0.021229267120361328,0.043585412256314196,-48.98648710593331,0.0,1
pair_005,GT,Rank_2,6,2,0.07716594457460359,0.27679068061162726,-0.1996247360370237,-0.03168821334838867,0,-0.14983177979892914,-0.01340288188545935,-0.004193736240267809,-0.10678958892822266,0.043585412256314196,-3.3457779972775796,0.0,1
pair_005,GT,Rank_3,6,3,0.07716594457460359,0.15725962186959624,-0.08009367729499266,-0.01202303171157837,0,-0.17374673975319233,-0.05587195833775149,-0.005146347451955108,-0.04775702953338623,0.012519395078332093,-8.959892619190256,0.0,1
pair_005,GT,Rank_4,6,4,0.07716594457460359,0.12422252108695145,-0.04705657651234786,-0.010147392749786377,0,-0.0485483878042966,0.07383883535661695,-0.0036632539704442024,-0.044691622257232666,-0.0314145877436858,0.32440248423611706,0.0,1
pair_005,GT,Rank_5,6,5,0.07716594457460359,0.10988881861128032,-0.03272287403667673,0.04603689908981323,0,-0.12788328507430236,-0.026696086238188976,0.03252425603568551,-0.07590728998184204,0.043585412256314196,-11.95249281464892,0.0,1
pair_005,GT,Rank_7,6,7,0.07716594457460359,0.03854884800146269,0.0386170965731409,0.06889957189559937,0,-0.1355966669572679,0.00046025704384755617,0.047958729788661,-0.021549642086029053,-0.0314145877436858,2.877475371623362,0.0,1
