pair_id,set_type,gt_rank,gt_score,winner_score,gt_minus_winner,gt_minus_top2,gt_minus_top5,gt_minus_top10,gt_minus_top20,winner_minus_gt
pair_050,SetA,62,0.006754215146739245,0.881219654092566,-0.8744654389458267,-0.6085319879252865,-0.4690075633892041,-0.31420021724272407,-0.059230452040247274,0.8744654389458267
pair_051,SetA,1,0.8481220633495891,0.8481220633495891,0.0,0.09168629023775599,0.7934025152689629,0.8223704416617122,0.840662562031948,0.0
pair_052,SetA,7,0.27655438580462477,0.6854843187247581,-0.40892993292013335,-0.3952860925705538,-0.13250804377862258,0.07887631921518237,0.23093183962848582,0.40892993292013335
pair_053,SetA,10,0.11555308333042709,0.6946389192836268,-0.5790858359531996,-0.4820728312319846,-0.18388491937541873,0.0,0.09579433201037982,0.5790858359531996
pair_054,SetA,1,0.8465252172977369,0.8465252172977369,0.0,0.08670227813672948,0.7495253017165835,0.7884597090903971,0.8259417953806906,0.0
pair_055,SetA,1,0.9511797403314245,0.9511797403314245,0.0,0.6039601455044339,0.7749281126897587,0.8993675064246448,0.9364138028015366,0.0
pair_057,SetA,3,0.8578766278822444,0.885206469386857,-0.027329841504612595,-0.00946127432214583,0.3834846842609504,0.6264037175569344,0.7755336627776467,0.027329841504612595
pair_059,SetA,1,0.8828512382778867,0.8828512382778867,0.0,0.7552711430005439,0.788085374309211,0.8487298631805861,0.8690780148049744,0.0
pair_061,SetA,6,0.019739876542170343,0.054394161039148986,-0.034654284496978646,-0.014920309120425867,-0.006004574745029943,0.0066273989261303075,0.012842079685274323,0.034654284496978646
pair_062,SetA,15,0.09725550220941404,0.9406649720662572,-0.8434094698568432,-0.8306896572057303,-0.6538229499631679,-0.1005069584142658,0.038325023779151486,0.8434094698568432
pair_063,SetA,1,0.847948541733874,0.847948541733874,0.0,0.3755792113703751,0.6874476258249927,0.7894574593692298,0.8315072462692035,0.0
pair_064,SetA,1,0.8619817922384908,0.8619817922384908,0.0,0.09832628913242014,0.3515830747515155,0.6649091397282554,0.8133878053657234,0.0
pair_065,SetA,1,0.9804954610221939,0.9804954610221939,0.0,0.23381976551378036,0.8149453234459544,0.9462823926897332,0.9676187255847968,0.0
pair_066,SetA,2,0.7180947661888041,0.8237719570133459,-0.10567719082454186,0.0,0.3643281195907431,0.5700178119274499,0.6753158459615832,0.10567719082454186
pair_067,SetA,1,0.6754532487130364,0.6754532487130364,0.0,0.5223004360036393,0.6107347320071361,0.6258225606740537,0.6592601810206529,0.0
pair_069,SetA,1,0.6246967873856644,0.6246967873856644,0.0,0.21616061459859343,0.5595890593619648,0.58371700920372,0.5973740870990739,0.0
pair_070,SetB,63,0.003074114009073342,0.20746763889655434,-0.204393524887481,-0.18691878416055113,-0.042934987198784504,-0.021614660137056325,-0.013435242776305634,0.204393524887481
pair_071,SetB,1,0.5924320754430569,0.5924320754430569,0.0,0.0638903893569226,0.3403867554001817,0.5161971104869598,0.5731709141753919,0.0
pair_072,SetB,29,0.024506398192078057,0.21063135242453024,-0.18612495423245218,-0.14002832124089207,-0.0670124175783879,-0.029837670856387725,-0.008678236584519803,0.18612495423245218
pair_073,SetB,13,0.03323290719642017,0.5465338049717159,-0.5133008977752958,-0.28581494615781144,-0.09616432937574743,-0.00926303284074445,0.011466506522261697,0.5133008977752958
pair_074,SetB,1,0.8954552290867855,0.8954552290867855,0.0,0.10828645974941087,0.15842460535641767,0.319408564605705,0.8525809788210542,0.0
pair_077,SetB,12,0.19584083228110327,0.8771532009044772,-0.681312368623374,-0.648356137258764,-0.5904520881750904,-0.18422290169135092,0.13690107953511266,0.681312368623374
pair_078,SetB,23,0.025512709208294973,0.7148384369055811,-0.6893257276972862,-0.6239096644355246,-0.1561757135312667,-0.06263020263994422,-0.0031210608286238485,0.6893257276972862
pair_079,SetB,5,0.27864213243852776,0.5831717422997712,-0.30452960986124344,-0.15475529085848067,0.0,0.15622525946910057,0.2612652342835011,0.30452960986124344
pair_080,SetB,74,0.0015225859847391692,0.2939276798047048,-0.29240509381996566,-0.24886124053826822,-0.04409705824480014,-0.014975397868027956,-0.007809343582375031,0.29240509381996566
pair_081,SetB,4,0.23769498447650525,0.3751895289416189,-0.13749454446511364,-0.09626328597557762,0.13123710234853725,0.16897730470899508,0.22521370831771664,0.13749454446511364
pair_082,SetB,131,0.00037230586458784687,0.013503463388835549,-0.013131157524247702,-0.011750103415681872,-0.003960890569639815,-0.0025219665445011404,-0.0015805659761841707,0.013131157524247702
pair_083,SetB,51,0.0014604505175231238,0.02680402004662042,-0.025343569529097297,-0.014142408498657772,-0.00825461162905332,-0.006412360819048677,-0.003582440951490572,0.025343569529097297
pair_084,SetB,11,0.09479398770259183,0.8853386279932223,-0.7905446402906304,-0.7290134080531446,-0.07060583038213898,-0.010205255398898383,0.04125616838755676,0.7905446402906304
pair_087,SetB,1,0.33492524720139333,0.33492524720139333,0.0,0.2631385302859798,0.2978598469550964,0.31391292392615516,0.32603811000449523,0.0
pair_088,SetB,2,0.8935649646768591,0.9344780830472951,-0.040913118370435986,0.0,0.490631295417067,0.8530209450525207,0.8714186186766667,0.040913118370435986
