peak_x,peak_y,cx,cy,corr_score,fft_gradient_score,peak_margin,psr,context_32,context_64,context_128,context_score,phase_dx,phase_dy,phase_residual,phase_penalty,template_residual,center_prior,score_combined,pace_score,family_id,family_population,family_score_variance,nearest_edge_dist,nearest_cut_dist,row_spacing,col_spacing,local_density,rank_score,pair_id,set,gt_found,total_candidates
554,417,604.0,467.0,0.8322898745536804,0.6208497285842896,0.018722236156463623,2.0708518028259277,0.8003433148184286,0.7472870968742258,0.7427836467520371,0.7560969604141909,0.0,0.0,0.07612129300832748,0.05,1499.5511474609375,109.11003620199197,0.7441934174839356,0.0,0,50,2.5679308161949164e-05,1.4142135623730951,12.206555615733702,3.0,0.0,144.54931640625,0.5710095458165678,A_27,A_NOMINAL,1,50
397,673,447.0,723.0,0.7956970930099487,0.592230498790741,2.8789043426513672e-05,1.6342792510986328,0.6547196563180188,0.6937687725413852,0.6920635372118159,0.6852768551648842,3.0,0.0,0.04723043367266655,0.0875,1484.7022705078125,229.21169254643183,0.6529869740874165,0.0,2,1,0.0,0.0,20.223748416156685,0.0,0.0,130.259765625,0.5493875143916386,A_28,A_NOMINAL,1,50
551,459,601.0,509.0,0.8283647298812866,0.5785467028617859,0.018596172332763672,2.016446590423584,0.6735968324375445,0.7080539493566369,0.7565560746767647,0.7205633761008695,0.0,0.0,0.09747382998466492,0.05,1378.5281982421875,101.40019723846694,0.724464052991078,0.0,0,50,3.0356530899986467e-05,1.0,24.73863375370596,3.0,2.0,130.342041015625,0.5803689558617018,A_29,A_NOMINAL,1,50
726,512,776.0,562.0,0.7892530560493469,0.5593011379241943,0.025351405143737793,1.700278878211975,0.7103938155297801,0.7040651196514046,0.6961873614916141,0.7021797555631635,0.0,0.0,0.0989033505320549,0.05,1443.3740234375,282.8780656042458,0.6957164058062552,0.0,0,1,0.0,1.0,38.8329756778952,0.0,0.0,130.5732421875,0.5558048300143928,A_3,A_NOMINAL,1,50
447,523,497.0,573.0,0.8349384069442749,0.5758386850357056,0.00011110305786132812,2.262125015258789,0.6943492043499131,0.6836049879771595,0.7724490538772075,0.7212914576117295,1.0,0.0,0.05072871595621109,0.05,1464.0733642578125,73.06161783043132,0.7281149322780022,0.0,0,50,5.8459330726933e-06,1.0,14.142135623730951,159.0,13.0,130.31201171875,0.5797085488407422,A_30,A_NOMINAL,1,50
492,370,541.5,419.5,0.8207312822341919,0.4983481466770172,0.0027820467948913574,2.734900712966919,0.861189337837672,0.7798737912142879,0.7893957196556579,0.7999456719155127,0.0,0.0,0.079637311398983,0.05,1834.212890625,90.56765427016424,0.7603384770748522,0.0,0,50,0.0012602793638906234,1.5811388300841898,9.192388155425117,3.0,77.0,151.232421875,0.5854335771958863,A_31,A_NOMINAL,1,50
506,645,556.0,695.0,0.8323226571083069,0.5341548323631287,0.0027933716773986816,3.0532350540161133,0.7484024764530893,0.8096735858501788,0.7804341358822026,0.7857235839835705,0.0,0.0,0.08586526662111282,0.05,1682.150146484375,202.88173895153798,0.7590231205459386,0.0,0,50,0.0010780332773849466,1.0,24.166091947189145,2.0,2.0,156.29052734375,0.5772591531622181,A_32,A_NOMINAL,1,50
586,188,636.0,238.0,0.8390242457389832,0.5970641374588013,0.0007467269897460938,2.700911045074463,0.6963826288444703,0.7703044507822715,0.7521223700170393,0.7482472540886184,-1.0,0.0,0.08904644101858139,0.05,1445.925048828125,295.1948509036023,0.7436357499138007,0.0,0,30,1.1847044580864325e-05,0.0,8.06225774829855,3.0,2.0,149.63720703125,0.5615946529658422,A_33,A_NOMINAL,1,50
255,291,305.0,341.0,0.7497699856758118,0.5103117823600769,8.219480514526367e-05,1.5168728828430176,0.6005795532187501,0.6491019632683005,0.6394885928997276,0.6355521331109613,1.0,-1.0,0.046568483114242554,0.05,1624.2523193359375,251.60683615514105,0.6426610593933865,0.0,2,1,0.0,0.0,16.0312195418814,0.0,0.0,132.889892578125,0.5102104389482759,A_34,A_NOMINAL,1,50
211,516,261.0,566.0,0.8186349868774414,0.515018880367279,0.0003070831298828125,2.1768100261688232,0.6546164417854768,0.6417074854330125,0.7141013714774042,0.673246831121262,0.0,-1.0,0.10969186574220657,0.05,1479.4962158203125,247.94555854057964,0.6959409089993517,0.0,0,50,1.1050163239366383e-05,1.0,19.235384061671343,159.0,38.0,128.221435546875,0.5500178853495616,A_35,A_NOMINAL,1,50
