pair_id,set_type,gt_found,v25_found,v25_ml,v25_score,v25_dist,v46_triggered,v46_consensus,v46_score,v46_dist,final_found
pair_000,SetA,1,1,0.1959262509339319,0.8088034,242.53315729255803,True,4,0.9187739,296.57242578281273,1
pair_001,SetA,1,1,0.9253164132900256,0.762781,0.4204336101119137,False,4,0.9158768,0.4204336101119137,1
pair_002,SetA,1,0,0.0003348905322553,0.031550422,691.7055040903039,True,3,0.7119597,227.8576737319883,1
pair_003,SetA,1,1,0.0001539189046451,0.6305215,174.28174573115788,True,3,0.8324243,550.7910753651022,1
pair_004,SetA,1,0,0.0003453219150078,-0.05543061,754.585494241511,True,3,0.7572119,384.10989360772504,1
pair_005,SetA,1,1,0.0001553482453176,0.7000404,25.877409432218737,True,3,0.81520396,460.5969619732643,1
pair_006,SetA,1,0,0.000180410750787,0.25133568,727.3026647503613,True,3,0.6949664,434.34749243155017,1
pair_007,SetA,1,1,0.0009029959889898,0.7363904,157.5454656839746,False,4,0.81762207,157.5454656839746,1
pair_008,SetA,1,0,0.0001893854478728,0.011686452,617.4940742157812,True,3,0.7544531,480.7366485655709,1
pair_009,SetA,1,1,0.7001673930658726,0.7935434,0.17622811253794268,False,3,0.85271466,0.17622811253794268,1
pair_010,SetA,1,0,0.0002566742042007,0.19226716,564.4539563622026,True,4,0.7647673,285.0489024318211,1
pair_011,SetA,1,1,0.9792438864766124,0.8404557,0.694048617067231,False,4,0.94045573,0.694048617067231,1
pair_012,SetA,1,1,0.0003443277748242,0.6999443,177.59233779671717,True,4,0.89191604,297.86563375366273,1
pair_013,SetA,1,1,0.3530918176437593,0.75678515,530.9567349395683,True,3,0.87330836,0.2978703643747182,1
pair_014,SetA,1,0,0.0312001731574433,0.21355075,820.5036611319046,True,3,0.7009164,225.5136243321481,1
pair_015,SetA,1,1,0.0015055600065832,0.7573199,236.16109540078187,True,3,0.89364636,388.1944506305203,1
pair_016,SetA,1,0,0.0039205460893416,-0.0020443946,756.0345920009698,True,4,0.78030455,628.3226901444564,1
pair_017,SetA,1,1,6.618683018048782e-05,0.7203643,354.8151881027948,True,4,0.8822113,510.2685071734702,1
pair_018,SetA,1,1,0.000413926958091,0.62945,521.7749789110326,True,3,0.7935479,190.63856200353862,1
pair_019,SetA,1,1,0.1396512854036191,0.7437222,18.518807110956452,True,4,0.8566894,366.90124741055234,1
pair_020,SetA,1,1,0.0003573469766878,0.72301877,259.1121509350609,True,4,0.8643615,649.7731229261825,1
