pair_id,candidate_rank,gt_x,gt_y,pred_x,pred_y,loc_error,status,score_original,score_normalized,score_highpass,score_gradient,score_blur,score_sharp,score_mean,score_std,rank_original,rank_normalized,rank_highpass,rank_gradient,rank_blur,rank_sharp,rank_std,x_shift,y_shift,coordinate_std,winner_frequency,representation_agreement
pair_049,1,435.9720122977421,504.35336785436,436.0,504.0,0.35447447294926504,SAFE,-0.04035523906350136,-0.04035447910428047,0.10237081348896027,0.06706339120864868,-0.05040672793984413,-0.035541318356990814,0.0004627400388320287,0.06060397396285042,150,150,144,51,148,148,36.20504875781216,27.833333333333332,28.333333333333332,2.386303510546059,0.0,0
pair_050,1,523.0402884416775,624.2321491754209,526.5,523.5,100.79154469282648,WRONG,-0.03406597673892975,-0.03406770899891853,0.03833802789449692,0.05394086614251137,-0.05835217237472534,-0.025527050718665123,-0.009955669132371744,0.041155062958400095,84,84,73,44,87,85,15.071127658171067,6.833333333333333,8.166666666666666,1.3333333333333335,0.0,0
pair_051,1,583.0687185699024,574.3139849533147,442.5,568.5,140.68890169953636,WRONG,0.025938311591744423,0.02593947947025299,0.026568526402115822,0.09701722860336304,0.028038643300533295,0.02518424764275551,0.038114406168460846,0.026356675139626924,122,122,69,162,123,124,27.07192067232927,32.166666666666664,32.166666666666664,1.9002923751652299,0.0,0
pair_052,1,580.7489974922584,537.8446461986192,618.0,538.0,37.25132645471001,WRONG,0.09574569761753082,0.09574588388204575,0.01696614921092987,-0.004599935840815306,0.14507265388965607,0.07847215980291367,0.07123376809371014,0.050665535608800986,28,28,8,113,36,27,33.729314648635636,21.833333333333332,23.0,2.3392781412697,0.0,0
pair_053,1,481.9060221764303,519.3259577042813,479.0,519.0,2.9242457685504495,SAFE,0.05291472002863884,0.05291330814361572,0.03562919422984123,0.10980604588985443,0.057993095368146896,0.04972676560282707,0.0598305215438207,0.023396564734689013,18,18,14,79,18,17,23.149274046692888,29.0,33.833333333333336,0.6871842709362768,0.0,0
pair_054,1,524.3944849087668,385.2139829045786,524.5,385.5,0.3048593337118826,SAFE,0.0735011026263237,0.07350105792284012,0.010594464838504791,0.008508260361850262,0.11469250172376633,0.059272412210702896,0.05667829994733135,0.03737749205532449,122,122,79,98,122,122,16.717422714707617,21.5,17.666666666666668,2.852873794770615,0.0,0
pair_055,1,404.9636330057472,391.4923593167131,404.5,391.5,0.46369596079683373,SAFE,-0.06086944788694382,-0.06086988002061844,0.10478668659925461,0.08437243849039078,-0.07228322327136993,-0.05484510958194733,-0.009951422611872355,0.07432793954788587,162,162,102,65,163,163,38.74453366462021,31.666666666666668,27.0,2.211083193570267,0.0,0
pair_056,1,503.63453564902574,449.4331566071532,535.0,456.0,32.04552677205374,WRONG,0.014575639739632607,0.01457640714943409,0.056812185794115067,0.01467069797217846,0.010859007015824318,0.01700012758374214,0.02141567754248778,0.015931675244157995,168,168,138,156,165,173,11.628509028341604,0.5,3.1666666666666665,2.0138409955990952,0.0,0
pair_057,1,551.3003772449036,447.9003532222361,551.0,448.0,0.31647427948354695,SAFE,0.23732711374759674,0.23732727766036987,0.059610337018966675,0.08731551468372345,0.27086141705513,0.2179243266582489,0.18506099780400595,0.08082622199790097,30,30,189,52,30,30,58.17335205133781,4.5,1.3333333333333333,3.1841621957571333,0.0,0
pair_058,1,409.69162392649287,578.3278051888444,405.5,554.5,24.19367709255186,WRONG,0.013898150995373726,0.013899290934205055,0.052736081182956696,0.034364961087703705,0.00933191180229187,0.016001509502530098,0.023371984250843525,0.015351594357883051,154,154,100,77,159,144,31.32446683061377,11.0,11.333333333333334,1.8408935028645437,0.0,0
pair_059,1,614.5899867242111,423.4540121109193,614.5,423.5,0.1010568972230651,SAFE,0.0233963280916214,0.023396586999297142,0.04065169021487236,0.04057157784700394,0.023831360042095184,0.022817036136984825,0.02911076322197914,0.008137699767579333,183,183,31,104,183,183,58.383074031206455,5.5,2.6666666666666665,1.0671873729054748,0.0,0
pair_060,1,560.1155584056785,517.980210360295,528.5,499.5,36.62050939383043,WRONG,0.03833773732185364,0.03833813965320587,0.01275624893605709,0.009616868570446968,0.07206226140260696,0.029822396114468575,0.03348894199977318,0.02060780804262051,69,69,100,81,67,70,11.661903789690601,24.0,28.666666666666668,1.4907119849998596,0.0,0
pair_061,1,594.2687468898076,437.7733349522034,564.0,566.0,131.750805187517,WRONG,0.0569494403898716,0.05694909393787384,0.045545436441898346,0.07994838058948517,0.061235666275024414,0.0548718199133873,0.05924997292459011,0.010407818343228726,130,130,176,83,128,130,26.85609800399157,28.166666666666668,27.666666666666668,2.2422706745122847,0.0,0
pair_062,1,317.90019451980305,581.77040896556,566.0,592.0,248.31060793297465,WRONG,0.039077937602996826,0.03907708078622818,0.037961944937705994,-0.0038618696853518486,0.05012580007314682,0.035987842828035355,0.03306145609046022,0.01712448608697044,94,94,113,100,85,100,8.498365855987974,8.666666666666666,9.166666666666666,0.8333333333333334,0.0,0
pair_063,1,612.8646965251174,489.01816294065696,474.5,495.5,138.51643749444221,WRONG,0.010198364965617657,0.010199584998190403,0.08377675712108612,0.1003207191824913,0.006309993099421263,0.011676616966724396,0.03708033938892186,0.03919455722129783,118,118,144,148,119,118,13.13709759929237,28.166666666666668,32.0,2.1921577396609844,0.0,0
pair_064,1,556.2970362597354,454.8233314230886,563.0,576.0,121.36191630944995,WRONG,-0.055871542543172836,-0.05587214231491089,0.019602835178375244,0.08203435689210892,-0.08960633724927902,-0.04441433027386665,-0.024021193385124207,0.057586246086164965,130,130,142,94,129,131,14.977761292440647,8.166666666666666,5.833333333333333,3.2058973436118903,0.0,0
pair_065,1,373.6748610981225,603.5404455786567,513.5,504.5,171.34783141127926,WRONG,0.10834382474422455,0.10834485292434692,0.13582128286361694,0.10027050971984863,0.11486341804265976,0.10382361710071564,0.11191125089923541,0.01159574145201329,28,28,145,77,27,29,43.77848279184143,35.5,32.833333333333336,1.8856180831641267,0.0,0
pair_066,1,509.7991559709936,566.9947545087396,524.0,567.0,14.200844997793117,WRONG,-0.09947184473276138,-0.09947068989276886,0.01861889660358429,0.08764392137527466,-0.14280098676681519,-0.08157631009817123,-0.052842835585276283,0.07969714639570033,183,183,62,32,185,183,64.9307323229917,18.333333333333332,14.166666666666666,2.386303510546059,0.0,0
pair_067,1,528.9313262968036,440.8235571257104,520.0,511.0,70.74250295196238,WRONG,0.08843480795621872,0.0884351134300232,0.11398150026798248,0.03273669630289078,0.09397537261247635,0.0843927338719368,0.08365937074025472,0.024715449102073586,44,44,15,43,46,43,10.853826770109958,7.666666666666667,2.8333333333333335,0.8333333333333334,0.0,0
pair_068,1,378.9976793534375,546.376157512448,532.0,543.0,153.03956535086732,WRONG,0.0022159204818308353,0.0022153551690280437,0.009952008724212646,0.0026723542250692844,0.0052487836219370365,0.001995836617425084,0.004050043139917155,0.002861178473986322,157,157,97,114,158,157,24.886408606573454,24.833333333333332,25.0,3.6704525909242065,0.0,0
pair_069,1,472.57143863891145,554.5628638967514,473.0,555.0,0.6121705750699105,SAFE,0.14789053797721863,0.1478903591632843,0.021370287984609604,0.04671314358711243,0.1630564033985138,0.13832418620586395,0.11087415305276711,0.05529388277910213,26,26,182,7,24,26,60.08812972071384,2.1666666666666665,2.8333333333333335,2.6087459737497545,0.0,0
pair_070,1,533.9976049824504,486.68020968908655,531.5,526.5,39.89804169446763,WRONG,0.047584693878889084,0.04758523777127266,0.019433002918958664,0.003558187047019601,0.09374693781137466,0.03658072277903557,0.04141479703442504,0.028149853138860974,63,63,50,108,54,62,19.12822231387143,22.0,20.333333333333332,1.247219128924647,0.0,0
pair_071,1,556.8229823160575,576.0862587087526,557.0,576.0,0.1969157821608585,SAFE,0.039044588804244995,0.039044883102178574,0.04742192104458809,0.07376912981271744,0.04047530144453049,0.037276625633239746,0.04617207497358322,0.01275630381203247,156,156,73,120,160,155,31.5154283204627,16.333333333333332,14.0,1.1785113019775793,0.0,0
