pair_id,set_type,gt_found,corr_score,psr,peak_margin,context_32,context_64,context_128,context_score,phase_residual,phase_penalty,template_residual,center_prior,ambiguity_index,est_scale,est_theta
pair_014,SetA,1,0.7402843236923218,2.2553298473358154,-0.013571679592132568,0.6927671492544787,0.712411469275988,0.604373577667477,0.6652674486282817,0.06511230021715164,0.125,2481.455810546875,137.0109484676316,0.9284389980809186,10.899999999999999,-1.5
pair_015,SetA,1,0.8775427341461182,2.5859427452087402,-0.005832672119140625,0.8692953920018106,0.8514622153706809,0.8339848990194657,0.8480379241564209,0.08436273783445358,0.05,1714.07080078125,104.89041900955492,0.9788478218512643,11.599999999999998,-2.5
pair_016,SetA,1,0.8090254664421082,2.55905818939209,0.04634279012680054,0.4805349745494748,0.5411461741091141,0.6889118254460144,0.5881301947319464,0.04321954771876335,0.16249999999999998,2363.49462890625,79.74020316001207,0.7337491796275804,10.099999999999998,0.5
pair_017,SetA,1,0.820020854473114,1.7143008708953857,0.000855863094329834,0.8257581992353311,0.7315652078295343,0.7906521595821021,0.7740385868117208,0.029590440914034843,0.125,2292.763916015625,122.01639234135715,0.900562918613067,9.099999999999998,4.0
pair_018,SetA,1,0.8275638818740845,2.1488497257232666,0.0015164613723754883,0.5811547490096218,0.798723417308434,0.7959051131962486,0.7540823620037974,0.032467253506183624,0.16249999999999998,2600.1591796875,55.37598757584374,0.8751766178924035,9.199999999999998,0.5
pair_019,SetA,1,0.8684737682342529,2.678004741668701,-0.01854926347732544,0.7429069446928105,0.850990670491774,0.8397370768612332,0.8248724878797651,0.11096370220184326,0.05,1977.8726806640625,54.48853090330111,1.0858559893108604,8.599999999999998,2.75
pair_020,SetA,1,0.807794988155365,2.7083263397216797,0.007255733013153076,0.7342382088605743,0.7859857624723531,0.7874694560646658,0.7762297291869225,0.05010690912604332,0.05,2273.762451171875,96.56603957913983,0.8230303322156717,9.299999999999999,2.0
pair_021,SetA,1,0.8821737170219421,2.494420289993286,0.02073723077774048,0.8042534947495303,0.7841765282948894,0.8370763420961066,0.8093518471063045,0.14452865719795227,0.05,1727.4962158203125,47.4236228055175,0.8067596134969583,11.599999999999998,0.75
pair_022,SetA,1,0.686416745185852,3.017547607421875,-0.04027986526489258,0.5067666814374621,0.6711242322414864,0.743849204365379,0.6673427109302387,0.1004214808344841,0.05,2363.052734375,156.30898886500418,1.0713166896213047,10.299999999999999,-2.75
pair_023,SetA,1,0.8701419234275818,3.2918829917907715,0.004441201686859131,0.8534232794462516,0.8633376785769581,0.8650966048450277,0.8620583692580446,0.07999567687511444,0.05,1919.65478515625,55.226805085936306,0.8722060084342956,9.299999999999999,5.0
pair_024,SetA,1,0.785579264163971,2.112161874771118,-0.004665493965148926,0.5972918412169494,0.6303681429905788,0.635186027461271,0.6256800364241297,0.034911882132291794,0.2,2679.0185546875,84.50443775329198,0.8766565339806655,9.399999999999999,4.0
pair_025,SetA,1,0.8343625664710999,1.6758500337600708,4.1484832763671875e-05,0.5710131896547277,0.7110414961833554,0.7822468014680364,0.7115179569915022,0.04522840306162834,0.0875,1980.2724609375,153.1747368204039,0.8540475040894129,11.199999999999998,-3.5
pair_026,SetA,1,0.7092188000679016,2.685624837875366,0.0033115744590759277,0.5745180856674054,0.5058767436365456,0.7006505006158895,0.5975145148344552,0.058682940900325775,0.05,2185.924560546875,118.82760622010359,0.9610266098208057,11.899999999999999,-3.5
pair_027,SetA,1,0.8316273093223572,2.5270442962646484,-0.008542478084564209,0.7088858776775562,0.7873773433807291,0.7719272963334602,0.765499031421187,0.04274468496441841,0.125,2054.623046875,95.19716382329885,0.9520776464299502,10.299999999999999,-4.75
pair_028,SetA,1,0.7668560743331909,3.1648268699645996,0.01492452621459961,0.6952210341286137,0.7649232196787615,0.7561933962378148,0.7474908531923533,0.08123800158500671,0.05,1906.6087646484375,63.90618123468183,0.8189808487892151,11.599999999999998,1.0
pair_029,SetA,1,0.8706487417221069,2.3314013481140137,-0.0057885050773620605,0.6165188776331229,0.7539154803411424,0.8392871562376445,0.7605848301581394,0.04173643887042999,0.0875,1788.347900390625,66.68208155119335,0.8399878236373589,11.199999999999998,-2.25
pair_030,SetA,1,0.7814427018165588,2.026991367340088,0.0031137466430664062,0.7512216709362112,0.7552028552195755,0.6203285314061306,0.7004568888375248,0.03461812064051628,0.1662132317597294,2619.237060546875,108.81176406988355,0.9191862929574662,10.199999999999998,4.25
pair_031,SetA,1,0.8378971815109253,1.6937342882156372,-0.0006881356239318848,0.7468097964761277,0.6918400582820744,0.7673707286679858,0.7330462740752497,0.05335712060332298,0.05,1765.5789794921875,309.1803680701606,0.876109920928817,11.699999999999998,-0.75
pair_032,SetA,1,0.7897263169288635,2.804969072341919,-0.0031374692916870117,0.77310616699323,0.7797850075137253,0.6551738087945431,0.7286047599219534,0.05390800163149834,0.125,2201.8798828125,31.38470965295043,0.8280547618865967,10.899999999999999,-4.75
pair_033,SetA,1,0.9072321653366089,2.864145040512085,0.034122467041015625,0.8221466486835071,0.8584255792366646,0.8368770937548803,0.8425503989333194,0.18042396008968353,0.0,1725.6199951171875,84.74963126763443,0.6362604220297234,8.999999999999998,1.75
pair_034,SetA,1,0.772622287273407,2.1781840324401855,-0.0012648701667785645,0.6653887558226449,0.6148199379763584,0.6092768569988343,0.6227164691546061,0.025562699884176254,0.12961646096066226,2782.033447265625,152.7612516314265,0.8988893820307599,8.899999999999999,4.25
pair_035,SetA,1,0.8821321129798889,3.1188931465148926,0.00837719440460205,0.8763096913341785,0.8083776106081954,0.8382209945360983,0.8339013803245532,0.09695092588663101,0.05,1763.4599609375,161.37533888422976,0.8081140279769897,11.099999999999998,2.25
pair_036,SetA,1,0.7491812705993652,2.1965365409851074,0.007977783679962158,0.3919165935015275,0.3641436450741763,0.5906012351893174,0.460281270805703,0.0353255532681942,0.125,2464.403564453125,115.68275584545866,0.9727986332624008,10.999999999999998,3.5
pair_037,SetA,1,0.8756048679351807,2.7656359672546387,0.005272865295410156,0.8117451458635199,0.851045777075369,0.8356277757591096,0.8370184503064955,0.1487937867641449,0.05,1849.4053955078125,161.75598906995685,0.8264488800590891,10.599999999999998,-4.25
