pair_id,is_correct,v25_ml_score,curvature,scale_std
pair_014,0,0.0312001731574433,-0.40783465,0.19629113
pair_014,0,0.0182603775751152,-0.3660679,0.1864122
pair_016,0,0.2653242987761227,-0.3337549,0.17510879
pair_016,1,0.0993857563150503,-0.2753198,0.17095165
pair_016,0,0.036179134736403,-0.4079163,0.15107569
pair_016,0,0.0154181896998547,-0.24593699,0.17122807
pair_016,0,0.0130616809320539,-0.3999554,0.15920663
pair_016,0,0.0114583622472922,-0.24078238,0.17154892
pair_016,0,0.0046552967419084,-0.38358593,0.1633313
pair_016,1,0.0039205460893416,-0.41200817,0.17418282
pair_016,0,0.0029848883541113,-0.44866073,0.16360532
pair_016,1,0.0029619942987696,-0.4117266,0.16993514
pair_018,0,0.0592165052480131,-0.78364784,0.30102
pair_018,0,0.0465954165108741,-0.8073158,0.305447
pair_018,0,0.0397584705342944,-0.8028308,0.3034102
pair_018,0,0.0362663618352539,-0.8110783,0.30094576
pair_018,0,0.0220953298037187,-0.8070979,0.30212033
pair_018,0,0.0121403372317874,-0.79177773,0.29909664
pair_018,0,0.0082567199788428,-0.80523485,0.30383956
pair_018,0,0.0063931604820592,-0.7958423,0.30359071
pair_018,0,0.0039421805212124,-0.8109447,0.30276793
pair_018,0,0.0030622806215174,-0.8068612,0.3011742
pair_020,0,0.7779192112760206,-0.6782434,0.24297118
pair_020,0,0.3084193195804476,-0.66110504,0.24156858
pair_020,0,0.0223958950700533,-0.6644788,0.23708053
pair_020,0,0.0140088872416554,-0.5569614,0.23024337
pair_020,0,0.0134689175619828,-0.6176082,0.22845136
pair_020,0,0.0125889053824799,-0.6348469,0.2274628
pair_020,1,0.0109180176319113,-0.6507327,0.24062665
pair_020,0,0.0096437734847296,-0.6057037,0.22671688
pair_020,0,0.0066950681877387,-0.624861,0.2347933
pair_020,0,0.0035163529109267,-0.58234113,0.22568342
pair_024,0,0.0252362138035757,-0.73388904,0.3219271
pair_024,0,0.0139338670327529,-0.7067912,0.31897318
pair_024,0,0.011076726380006,-0.7369498,0.32537895
pair_024,0,0.0098871330792561,-0.7119893,0.31713724
pair_024,0,0.0087235434974309,-0.72489893,0.32011503
pair_024,1,0.0059964071223556,-0.7136671,0.3220036
pair_024,0,0.0056876888420048,-0.7169454,0.3166047
pair_024,0,0.0055244377820473,-0.71530175,0.3158263
pair_024,0,0.0047227427711555,-0.7361284,0.31818825
pair_024,1,0.004710586386764,-0.7317606,0.31678706
pair_029,0,0.0944188588424061,-0.09565711,0.07215899
pair_029,0,0.041393234323756,-0.09055483,0.07686791
pair_029,0,0.0209053646340793,-0.0988543,0.07156925
pair_029,0,0.015146291551281,-0.095139265,0.07431828
pair_029,0,0.0137972041734582,-0.096357584,0.074799426
pair_029,0,0.0137337348455227,-0.031977415,0.09322697
pair_029,0,0.0134127959481754,-0.04326129,0.083935305
pair_029,0,0.0132563598484472,-0.10038519,0.07170157
pair_029,0,0.0096754635742628,-0.09516561,0.07270141
pair_029,0,0.0070992062097377,-0.10040319,0.07352487
pair_032,0,0.3594959260313713,-0.34774435,0.15757783
pair_032,1,0.3116032735339303,-0.38572335,0.15553129
pair_032,1,0.262730289130859,-0.3694638,0.15399592
pair_032,0,0.1938254147935838,-0.36774087,0.15847696
pair_032,0,0.1901965261925434,-0.28057957,0.1531206
pair_032,0,0.1545093360108998,-0.31129658,0.15747517
pair_032,0,0.1370317969003366,-0.32225907,0.1538269
pair_032,0,0.1367910158829779,-0.3160292,0.15846685
pair_032,0,0.0906700016786105,-0.3316188,0.15214857
pair_032,0,0.0852781583519542,-0.3416829,0.15550226
pair_034,0,0.0291919623769185,-0.63297355,0.33449388
pair_034,0,0.0198605769403772,-0.6376323,0.33602378
pair_034,1,0.0189033681466548,-0.64043784,0.3365826
pair_034,0,0.0168899262587525,-0.64531624,0.3328629
pair_034,0,0.0084466830139801,-0.6414386,0.33534205
pair_034,0,0.0080354835060359,-0.6540158,0.3359309
pair_034,0,0.0065273304869453,-0.6354204,0.33301616
