pair_id,set_type,gt_found,anchor_err,anchor_ok,a_big,a_grad,a_rout,a_fall,a_lminl,a_lmrms,a_g,gt_rank,g_big,g_grad,g_rout,g_fall,g_lminl,g_lmrms,g_g,g_minus_a
pair_017,SetA,1,184.84568650211244,0,0.13158884644508362,0.09388704597949982,0.07513018697500229,0.6947562471032143,2,7.724420150837645,-0.6257221636498576,3.0,0.12641246616840363,0.07050711661577225,0.07353021949529648,0.694489873945713,2.0,7.118052168020874,-0.6238044096527666,0.0019177539970909319
pair_018,SetA,1,168.44152295916086,0,0.026651091873645782,-0.04796803370118141,-0.022185398265719414,0.47735033743083477,2,10.130960647261622,-0.986998864367447,,,,,,,,,
pair_019,SetA,1,0.5749702477497144,1,0.22744566202163696,0.12928462028503418,0.2021155059337616,0.49008867144584656,0,7.574628703771558,-0.06840574650370429,,,,,,,,,
pair_020,SetA,1,217.54557031524078,0,0.2088465839624405,0.04036640748381615,0.16972243785858154,0.43513667583465576,2,8.139410298049853,0.12186521719483712,,,,,,,,,
pair_021,SetA,1,0.29302340417425976,1,0.17178881168365479,0.05371345952153206,0.09378693997859955,0.6482786685228348,2,8.539125638299666,-0.4462047565174169,,,,,,,,,
pair_022,SetA,1,0.5779999987101482,1,-0.05499696359038353,0.13321536779403687,-0.11620248854160309,0.5132531970739365,4,6.164414002968976,-0.6717234307292449,,,,,,,,,
pair_023,SetA,1,0.6515770767601963,1,0.22769327461719513,0.029096385464072227,0.13911816477775574,0.5950041711330414,4,5.5432186252458715,0.3123158658597597,,,,,,,,,
pair_024,SetA,1,297.84726290698296,0,0.1260058432817459,-0.041172001510858536,0.11179760098457336,0.3462573289871216,1,9.810708435174291,-0.4312521535961239,,,,,,,,,
pair_025,SetA,1,0.4007024107691836,1,0.21190938353538513,0.11813017725944519,0.1821395754814148,0.4710937738418579,3,7.926747967062743,0.34651711005307645,,,,,,,,,
pair_026,SetA,1,0.09167048776171266,1,0.23780199885368347,0.13151700794696808,0.18772827088832855,0.5176682025194168,2,7.669301260100676,0.21783629945277255,,,,,,,,,
pair_027,SetA,1,18.486148547552336,0,0.27617955207824707,0.20386216044425964,0.23835614323616028,0.4500555694103241,4,6.164414002968976,1.0436396005239739,10.0,0.29941555857658386,0.05517939478158951,0.29189667105674744,0.4694405496120453,1.0,8.306623862918075,0.31995272695708943,-0.7236868735668844
pair_028,SetA,1,0.14548934192212729,1,0.10008469969034195,0.07521145790815353,0.019308367744088173,0.6165265049785376,5,5.172040216394301,-0.044084738668860535,,,,,,,,,
pair_029,SetA,1,271.8240048917937,0,0.1184467077255249,0.1316467970609665,0.030105536803603172,0.6966739241033792,2,8.16496580927726,-0.6515572301696939,,,,,,,,,
pair_030,SetA,1,46.4220952883339,0,0.20439492166042328,0.13650991022586823,0.19105087220668793,0.29201148450374603,1,9.1104335791443,0.3069364410344919,,,,,,,,,
pair_031,SetA,1,65.91600616206902,0,0.1495535969734192,0.085907943546772,0.09004978090524673,0.6228184327483177,2,6.788470618138767,-0.3565049519632782,,,,,,,,,
pair_032,SetA,1,79.4359577207898,0,0.3179057538509369,0.1787102222442627,0.2626492977142334,0.4983048439025879,0,8.984835709531518,0.30329677915277725,15.0,0.3175286054611206,0.13392573595046997,0.28273314237594604,0.48740285634994507,3.0,7.784600182411426,0.8074148259742251,0.5041180468214479
pair_033,SetA,1,0.019423389437072804,1,0.33794695138931274,0.19012300670146942,0.26994970440864563,0.6024293601512909,0,8.371578903249572,0.2375753171182421,,,,,,,,,
pair_034,SetA,1,36.7403953430481,0,0.010028603486716747,0.04132688790559769,-0.08764214813709259,0.8096805959939957,0,10.198039027185569,-1.90142260080418,,,,,,,,,
pair_035,SetA,1,0.4268925575822685,1,0.28761017322540283,0.19610676169395447,0.20872937142848969,0.6238841563463211,4,7.305041845440474,0.7174697141736922,,,,,,,,,
pair_036,SetA,1,223.28119664979147,0,0.09722591936588287,0.12852789461612701,0.0018969093216583133,0.7139544571982697,0,9.604686356149273,-1.1793916360847498,,,,,,,,,
pair_037,SetA,1,0.48142570647768745,1,0.2963302731513977,0.23806212842464447,0.22932127118110657,0.5875628292560577,4,7.297259759663212,0.8927024511206746,,,,,,,,,
pair_038,SetA,1,73.62219926947071,0,0.3377523422241211,0.16642922163009644,0.3118809759616852,0.36685535311698914,1,9.346851681910673,0.7705954091887449,4.0,0.368301123380661,0.1744064837694168,0.3698190748691559,0.07648211717605591,5.0,8.084778065206018,2.180458265182909,1.4098628559941644
