pair_id,set_type,d_th,cand_th,gt_err,score_A,score_B,score_C,score_D,score_E,score_interp_area,score_interp_cubic,score_interp_linear
pair_009,SetA,-0.15000000000000002,-2.25,0.1572544707475978,0.8545788526535034,0.621525228023529,0.7846627295017241,0.7380519807338715,0.6215251088142395,0.7846627295017241,0.7156724989414214,0.7234935343265533
pair_009,SetA,-0.10000000000000003,-2.2,0.10725447074759797,0.8551138043403625,0.6236373782157898,0.7856708407402038,0.7393755316734314,0.6236372590065002,0.7856708407402038,0.7158870637416839,0.7239175796508788
pair_009,SetA,-0.050000000000000044,-2.1500000000000004,0.05725447074759815,0.8553878664970398,0.6249567270278931,0.7862585604190826,0.7401723563671112,0.6249568462371826,0.7862585604190826,0.7157449126243591,0.7239892721176147
pair_009,SetA,-5.551115123125783e-17,-2.1,0.007254470747597885,0.8554825186729431,0.6255676746368408,0.7865080296993255,0.7405250370502472,0.6255675554275513,0.7865080296993255,0.7152141869068145,0.7236636757850646
pair_009,SetA,0.04999999999999993,-2.0500000000000003,0.04274552925240194,0.8553682565689087,0.6255571246147156,0.7864249169826507,0.7404626905918121,0.6255571246147156,0.7864249169826507,0.7149732828140258,0.7234449625015258
pair_009,SetA,0.09999999999999992,-2.0,0.0927455292524022,0.8549976944923401,0.6250602006912231,0.7860164105892181,0.7400288879871368,0.6250600814819336,0.7860164105892181,0.714502340555191,0.7230169653892518
pair_009,SetA,0.1499999999999999,-1.9500000000000002,0.14274552925240203,0.854437530040741,0.6234220266342163,0.7851328790187835,0.7389297783374786,0.6234220266342163,0.7851328790187835,0.7139211356639861,0.7223756849765778
pair_009,SetA,0.1999999999999999,-1.9000000000000001,0.19274552925240207,0.8536359071731567,0.6209938526153564,0.7838432908058166,0.7373148798942566,0.6209938526153564,0.7838432908058166,0.7128406345844269,0.7212021172046661
pair_009,SetA,0.24999999999999983,-1.8500000000000003,0.2427455292524019,0.8525744080543518,0.6174928545951843,0.782049959897995,0.7350336611270905,0.6174929141998291,0.782049959897995,0.7111284017562866,0.7195139288902281
pair_009,SetA,0.2999999999999999,-1.8000000000000003,0.29274552925240194,0.8513271808624268,0.6136983633041382,0.780038571357727,0.7325128316879272,0.6136984825134277,0.780038571357727,0.7093385279178619,0.717737603187561
pair_010,SetA,-0.3,-5.0,0.1606361047819247,0.6734858751296997,0.4546010494232178,0.6009321480989456,0.5525629967451096,0.4316401183605194,0.6009321480989456,0.5149199336767196,0.5201343476772309
pair_010,SetA,-0.25,-4.95,0.11063610478192487,0.6755920052528381,0.4561431407928467,0.6029943525791168,0.5545959174633026,0.4335998296737671,0.6029943525791168,0.5158799886703491,0.5213805437088013
pair_010,SetA,-0.2,-4.9,0.06063610478192505,0.6771733164787292,0.45686787366867065,0.6044914960861205,0.5560369491577148,0.43490058183670044,0.6044914960861205,0.5166467487812042,0.5223369210958481
pair_010,SetA,-0.15000000000000002,-4.8500000000000005,0.010636104781925226,0.6785563230514526,0.45670339465141296,0.6056645572185516,0.5570700466632843,0.43558377027511597,0.6056645572185516,0.5163134932518005,0.5224166065454483
pair_010,SetA,-0.10000000000000003,-4.8,0.039363895218075484,0.6794522404670715,0.45584622025489807,0.6062609791755675,0.5574668049812317,0.43548136949539185,0.6062609791755675,0.5160210818052291,0.522398406267166
pair_010,SetA,-0.050000000000000044,-4.75,0.0893638952180753,0.6799331307411194,0.45416882634162903,0.606445887684822,0.5574543923139572,0.43497565388679504,0.606445887684822,0.5169005453586578,0.5232708066701889
pair_010,SetA,-5.551115123125783e-17,-4.7,0.13936389521807513,0.6800615787506104,0.45124348998069763,0.606081810593605,0.5567619651556015,0.43346235156059265,0.606081810593605,0.5184056520462036,0.5245157510042191
pair_010,SetA,0.04999999999999993,-4.65,0.18936389521807495,0.679659903049469,0.44763079285621643,0.6051794737577438,0.5555258542299271,0.43139180541038513,0.6051794737577438,0.5189880490303039,0.5249013364315033
pair_010,SetA,0.09999999999999992,-4.6000000000000005,0.23936389521807477,0.6787638068199158,0.4429175555706024,0.6037870794534683,0.5538025945425034,0.42884138226509094,0.6037870794534683,0.5190196365118026,0.524711400270462
pair_010,SetA,0.1499999999999999,-4.550000000000001,0.2893638952180746,0.6776291131973267,0.4371573030948639,0.6020208418369293,0.5516153275966644,0.4256015419960022,0.6020208418369293,0.5184561491012574,0.5240082621574402
pair_010,SetA,0.1999999999999999,-4.5,0.3393638952180753,0.6760434508323669,0.4305404722690582,0.6000059992074966,0.5493143647909164,0.42258527874946594,0.6000059992074966,0.5172011166810989,0.5225114971399307
pair_010,SetA,0.24999999999999983,-4.45,0.38936389521807513,0.6740579009056091,0.42344096302986145,0.5976744443178177,0.5467521399259567,0.4194463789463043,0.5976744443178177,0.515330895781517,0.5206359446048736
pair_010,SetA,0.2999999999999999,-4.4,0.43936389521807495,0.6717026233673096,0.41597655415534973,0.5949847936630248,0.5438395738601685,0.41597652435302734,0.5949847936630248,0.5135413318872452,0.5186310321092605
pair_011,SetA,-0.3,-2.25,0.33934074730958796,0.8508069515228271,0.5632321834564209,0.7645345389842986,0.7070195972919464,0.5632322430610657,0.7645345389842986,0.7138685643672943,0.7192626774311065
pair_011,SetA,-0.25,-2.2,0.28934074730958814,0.8528890609741211,0.5704367160797119,0.7681533396244048,0.7116628587245941,0.5704366564750671,0.7681533396244048,0.7168914020061493,0.7224766254425048
pair_011,SetA,-0.2,-2.15,0.23934074730958788,0.8546295762062073,0.5763223171234131,0.7711373805999756,0.7154759168624878,0.5763222575187683,0.7711373805999756,0.7196184813976287,0.725268942117691
pair_011,SetA,-0.15000000000000002,-2.1,0.18934074730958805,0.8559907674789429,0.5808614492416382,0.7734519183635711,0.7184260189533234,0.5808612704277039,0.7734519183635711,0.7227181851863861,0.7282586932182311
pair_011,SetA,-0.10000000000000003,-2.05,0.1393407473095878,0.8570101261138916,0.5842874646186829,0.7751933813095092,0.7206488847732544,0.5842876434326172,0.7751933813095092,0.724932998418808,0.7302281975746154
pair_011,SetA,-0.050000000000000044,-2.0,0.08934074730958796,0.8576784133911133,0.58644038438797,0.7763069868087769,0.7220593690872192,0.5864403247833252,0.7763069868087769,0.7251101315021514,0.73066845536232
pair_011,SetA,-5.551115123125783e-17,-1.95,0.03934074730958792,0.8580250144004822,0.5873809456825256,0.7768317401409148,0.7227028906345367,0.5873807668685913,0.7768317401409148,0.7242960035800934,0.7301744461059569
pair_011,SetA,0.04999999999999993,-1.9,0.010659252690412124,0.8579818606376648,0.587316632270813,0.7767823100090026,0.7226492762565613,0.5873166918754578,0.7767823100090026,0.7235149562358856,0.7294071853160857
pair_011,SetA,0.09999999999999992,-1.85,0.06065925269041195,0.8576178550720215,0.5863606333732605,0.7762406349182129,0.7219891548156738,0.5863604545593262,0.7762406349182129,0.7231383979320526,0.7288788676261901
pair_011,SetA,0.1499999999999999,-1.8,0.11065925269041199,0.8569701910018921,0.5839809775352478,0.7750734269618987,0.72047558426857,0.5839809775352478,0.7750734269618987,0.7220075845718383,0.7275627672672271
pair_011,SetA,0.1999999999999999,-1.75,0.16065925269041204,0.8558748364448547,0.580623209476471,0.7732993483543396,0.7182490229606628,0.580623209476471,0.7732993483543396,0.7195046186447143,0.7252544760704039
pair_011,SetA,0.24999999999999983,-1.7000000000000002,0.21065925269041186,0.854508101940155,0.5761011242866516,0.7709860086441039,0.7153046131134033,0.5761011242866516,0.7709860086441039,0.7164849162101745,0.7223809480667114
pair_011,SetA,0.2999999999999999,-1.6500000000000001,0.2606592526904119,0.8528350591659546,0.5705658197402954,0.7681543409824371,0.7117005288600922,0.5705659985542297,0.7681543409824371,0.7133575558662414,0.7192091166973114
pair_012,SetA,-0.3,3.6,0.25994555794637497,0.7681488394737244,0.6024398803710938,0.7184361696243285,0.6852943897247314,0.6024399399757385,0.7184361696243285,0.656157499551773,0.6624363839626312
pair_012,SetA,-0.25,3.65,0.20994555794637515,0.7731776237487793,0.6121081113815308,0.7248567879199981,0.6926428973674774,0.6121081709861755,0.7248567879199981,0.6627679646015167,0.6691374897956848
pair_012,SetA,-0.2,3.6999999999999997,0.15994555794637533,0.7772193551063538,0.62007075548172,0.730074793100357,0.6986450850963593,0.6200708150863647,0.730074793100357,0.6681438028812408,0.6745247542858124
pair_012,SetA,-0.15000000000000002,3.75,0.10994555794637506,0.7802022099494934,0.6262328028678894,0.7340113699436187,0.703217476606369,0.6262327432632446,0.7340113699436187,0.6721348762512207,0.6784523546695709
pair_012,SetA,-0.10000000000000003,3.8,0.05994555794637524,0.7821100950241089,0.6304756999015808,0.7366197586059571,0.7062928676605225,0.630475640296936,0.7366197586059571,0.6742105484008789,0.6805761516094208
pair_012,SetA,-0.050000000000000044,3.8499999999999996,0.009945557946375416,0.782960832118988,0.6324979066848755,0.7378219366073608,0.7077293395996094,0.6324978470802307,0.7378219366073608,0.674798572063446,0.6812038540840148
pair_012,SetA,-5.551115123125783e-17,3.9,0.04005444205362485,0.7827151417732239,0.6323964595794678,0.7376195192337036,0.7075557708740234,0.632396399974823,0.7376195192337036,0.6744826316833497,0.6808214247226715
pair_012,SetA,0.04999999999999993,3.9499999999999997,0.09005444205362467,0.7814163565635681,0.6302657127380371,0.7360711634159087,0.7058410346508026,0.6302657127380371,0.7360711634159087,0.6726890683174133,0.6789200961589813
pair_012,SetA,0.09999999999999992,4.0,0.14005444205362494,0.7790974974632263,0.6262513399124146,0.7332436859607696,0.7026744782924652,0.6262514591217041,0.7332436859607696,0.6689060509204865,0.6754144668579101
