pair_id,set_type,cls,gt_rank,best_gterr,deep_gterr,n_cands,mode_strong,gt_in_top1,gt_in_top5,gt_in_top10,gt_in_top20,gt_in_top50,gt_in_top100,gt_in_top200,gt_in_deep_pool
pair_117,SetB,R1,1.0,0.6213588652860915,0.6213588652860915,200,1,True,True,True,True,True,True,True,True
pair_118,SetB,R4,,7.260097344732675,50.95401270424345,200,1,False,False,False,False,False,False,False,False
pair_119,SetB,R4,,13.281400972682034,13.281400972682034,200,1,False,False,False,False,False,False,False,False
pair_120,SetB,R4,,7.322434594380725,8.908668516337015,200,0,False,False,False,False,False,False,False,False
pair_121,SetB,R3,,7.619770738556436,2.6334637212184226,200,1,False,False,False,False,False,False,False,True
pair_122,SetB,R2,3.0,0.19640367559491972,0.19640367559491972,200,1,False,True,True,True,True,True,True,True
pair_123,SetB,R2,18.0,0.5072481902248702,0.5072481902248702,200,1,False,False,False,True,True,True,True,True
pair_124,SetB,R4,,11.80782555450069,11.80782555450069,200,0,False,False,False,False,False,False,False,False
pair_125,SetB,R2,2.0,0.2933054029023236,0.2933054029023236,200,1,False,True,True,True,True,True,True,True
pair_126,SetB,R2,2.0,0.2307793969874171,0.2307793969874171,200,0,False,True,True,True,True,True,True,True
pair_127,SetB,R4,,6.020495623245533,6.020495623245533,200,0,False,False,False,False,False,False,False,False
pair_128,SetB,R2,14.0,0.42568444868142624,0.42568444868142624,200,1,False,False,False,True,True,True,True,True
pair_129,SetB,R1,1.0,0.3580276258020229,0.3580276258020229,200,0,True,True,True,True,True,True,True,True
pair_130,SetB,R2,8.0,4.245710039600457,0.486580005421355,200,1,False,False,True,True,True,True,True,True
pair_131,SetB,R1,1.0,0.2144513298699704,0.2144513298699704,200,1,True,True,True,True,True,True,True,True
pair_132,SetB,R2,94.0,2.9436165764810682,2.9436165764810682,200,0,False,False,False,False,False,True,True,True
pair_133,SetB,R1,1.0,0.4237567681768715,0.4237567681768715,200,0,True,True,True,True,True,True,True,True
pair_134,SetB,R4,,47.2550150497943,47.2550150497943,200,0,False,False,False,False,False,False,False,False
pair_135,SetB,R2,3.0,0.5020447723683664,0.5020447723683664,200,1,False,True,True,True,True,True,True,True
pair_136,SetB,R2,68.0,3.4683097027514393,3.4683097027514393,200,1,False,False,False,False,False,True,True,True
pair_137,SetB,R2,21.0,1.182312368083397,1.182312368083397,200,1,False,False,False,False,True,True,True,True
pair_138,SetB,R4,,85.3735181054247,123.05254561632441,200,1,False,False,False,False,False,False,False,False
pair_139,SetB,R1,1.0,0.4930703095079857,0.4930703095079857,200,0,True,True,True,True,True,True,True,True
