pair_id,present,est_scale,est_theta,mode_strong,cx,cy,peak_x,peak_y,corr_score,psr,context_32,context_64,context_128,context_combined,phase_penalty,dist_to_center,neigh_cons,grad_ncc,family,gterr,corr_score_rel,psr_rel,context_128_rel,context_combined_rel,phase_penalty_rel,dist_to_center_rel,neigh_cons_rel,grad_ncc_rel,family_ratio,v25,pool_size,pair_runtime,refined_x,refined_y,refined_gterr
v00000,1,11.599999999999998,-2.75,0,525.0,515.0,482,472,0.5777735114097595,0.0,0.5022600361694747,0.5701856310562622,0.5660584090481829,0.554949623275673,0.05,29.154759474226502,0.0,0.4456561505794525,187,224.97551380580694,0.03082314133644104,0.0,0.02159933019068061,0.013051253398357665,0.0,-190.71268265493288,0.0,0.11681738495826721,0.935,0.23593558545756782,200,5.156960964202881,524.9434653896114,515.157019740198,224.92712942296967
v00000,1,11.599999999999998,-2.75,0,558.0,517.0,515,474,0.579521894454956,0.0,0.4951529279866954,0.5652381297137633,0.5688530762386228,0.5526670679782936,0.09358541225631423,60.440052945046304,0.0,0.4703894257545471,187,258.034781336115,0.03257152438163757,0.0,0.02439399738112047,0.010768698100978247,0.043585412256314224,-159.42738918411305,0.0,0.14155066013336182,0.935,0.06496883689473244,200,5.156960964202881,558.3618017541007,516.8546375368405,258.3885405351506
v00000,1,11.599999999999998,-2.75,0,301.0,510.0,258,467,0.6052573919296265,0.0,0.5952035753995673,0.6043561050463199,0.598998137036392,0.6003824119129982,0.1662132317597294,199.25109786397664,0.0,0.18087662756443024,187,6.526289338659582,0.05830702185630798,0.0,0.05453905817888971,0.058484042035682915,0.1162132317597294,-20.616344265182732,0.0,-0.14796213805675507,0.935,0.004462723552812755,200,5.156960964202881,301.0,505.0,1.6391342420560127
v00000,1,11.599999999999998,-2.75,0,503.0,514.0,460,471,0.5757399201393127,0.0,0.4966620486973568,0.5668941922316867,0.565091538962178,0.5521267022170173,0.05,14.317821063276353,0.0,0.42963743209838867,187,202.95319118857142,0.028789550065994263,0.0,0.020632460104675676,0.010228332339701995,0.0,-205.54962106588303,0.0,0.10079866647720337,0.935,0.23593558545756782,200,5.156960964202881,502.69277194263316,514.0594651785465,202.64946154252596
v00000,1,11.599999999999998,-2.75,0,547.0,516.0,504,473,0.5773259997367859,0.0,0.4929502236965803,0.5681219188458747,0.5656391347247682,0.5520944661675733,0.05,49.64876634922564,0.0,0.45480892062187195,187,246.99790649061953,0.030375629663467407,0.0,0.0211800558672659,0.010196096290257972,0.0,-170.21867577993373,0.0,0.12597015500068665,0.935,0.22091787435273244,200,5.156960964202881,547.2244832927908,516.2649890866866,247.23563269592464
v00000,1,11.599999999999998,-2.75,0,306.0,399.0,263,356,0.6086475253105164,0.0,0.6003242673364138,0.5992446670881946,0.6067486628971618,0.6024621854614253,0.05,218.7167117528974,0.0,0.48883017897605896,187,104.6637708751797,0.061697155237197876,0.0,0.06228958403965945,0.06056381558410995,0.0,-1.1507303762619756,0.0,0.15999141335487366,0.935,0.0007336560143291918,200,5.156960964202881,306.0683809956083,399.2632794265876,104.4046245404472
v00000,1,11.599999999999998,-2.75,0,491.0,514.0,448,471,0.5728117823600769,0.0,0.49438644445392965,0.5583052071716089,0.5616189597339662,0.546846955653016,0.05,16.64331697709324,0.0,0.46141281723976135,187,190.9702401347258,0.025861412286758423,0.0,0.017159880876463918,0.004948585775700676,0.0,-203.22412515206614,0.0,0.13257405161857605,0.935,0.2993564374011771,200,5.156960964202881,491.4336840178444,513.5361365076108,191.3784074932715
v00000,1,11.599999999999998,-2.75,0,369.0,508.0,326,465,0.5846083164215088,0.0,0.5003803657498385,0.5637863529840321,0.5717100496494767,0.5542746342033713,0.05,131.24404748406687,0.0,0.45841503143310547,187,68.82852816602393,0.03765794634819031,0.0,0.02725097079197436,0.012376264326055986,0.0,-88.6233946450925,0.0,0.12957626581192017,0.935,0.3121986665985412,200,5.156960964202881,368.82319962018823,507.4043567228285,68.61571844756483
v00000,1,11.599999999999998,-2.75,0,358.0,507.0,315,464,0.5834718346595764,0.0,0.5106482965708957,0.5792483604664961,0.5754121585716623,0.5639938669294425,0.05,142.1724305201258,0.0,0.4168395698070526,187,57.78740105830428,0.036521464586257935,0.0,0.030953079714159948,0.02209549705212721,0.0,-77.69501160903357,0.0,0.08800080418586731,0.935,0.2572534505202072,200,5.156960964202881,357.8126677445535,506.8728170691949,57.59284464032482
v00000,1,11.599999999999998,-2.75,0,569.0,517.0,526,474,0.5722231864929199,0.0,0.4786530709633742,0.5582626074752067,0.5588736144156884,0.542585102949033,0.05885254915624212,71.06335201775947,0.0,0.4382757842540741,187,269.020352035512,0.02527281641960144,0.0,0.014414535558186059,0.0006867330717176268,0.008852549156242118,-148.8040901113999,0.0,0.1094370186328888,0.935,0.3517388344767296,200,5.156960964202881,569.5,517.378040474375,269.538911048885
v00000,1,11.599999999999998,-2.75,0,307.0,373.0,264,330,0.6010343432426453,0.0,0.6032056562954529,0.5880126428618794,0.5952324999532305,0.5939391883851346,0.05,231.03679360655957,0.0,0.4813302159309387,187,130.68037000464972,0.05408397316932678,0.0,0.05077342109572813,0.052040818507819275,0.0,11.169351477400198,0.0,0.15249145030975342,0.935,0.0007258342575983587,200,5.156960964202881,307.34272148894775,373.16863392311075,130.529952176602
