pair_id,set_type,gt_x,gt_y,best_rank,min_dist,top20,top50,top100,rescue_category
pair_060,SetA,560.1155584056785,517.980210360295,-1,8.615897555422633,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_061,SetA,594.2687468898076,437.7733349522034,-1,132.2612412640006,0,0,0,RESCUE_DENSITY_CAP
pair_062,SetA,317.90019451980305,581.77040896556,-1,18.433646984120205,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_063,SetA,612.8646965251174,489.01816294065696,5,0.13651711514899703,1,1,1,RETRIEVED_TOP100
pair_064,SetA,556.2970362597354,454.8233314230886,-1,12.81741239940794,0,0,0,RESCUE_DENSITY_CAP
pair_065,SetA,373.6748610981225,603.5404455786567,0,3.384623888199937,1,1,1,RETRIEVED_TOP100
pair_066,SetA,509.7991559709936,566.9947545087396,63,4.099247335495256,0,0,1,RETRIEVED_TOP100
pair_067,SetA,528.9313262968036,440.8235571257104,25,3.3630737841992615,0,1,1,RETRIEVED_TOP100
pair_068,SetA,378.9976793534375,546.376157512448,-1,26.452155064934004,0,0,0,RESCUE_DENSITY_CAP
pair_069,SetA,472.57143863891145,554.5628638967514,2,1.423448219277518,1,1,1,RETRIEVED_TOP100
pair_070,SetB,533.9976049824504,486.68020968908655,-1,36.00630587962767,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_071,SetB,556.8229823160575,576.0862587087526,13,3.4763459191102246,1,1,1,RETRIEVED_TOP100
pair_072,SetB,418.7440317498672,627.2884436776022,75,2.869531195573137,0,0,1,RETRIEVED_TOP100
pair_073,SetB,507.3263442179462,410.4344664899672,-1,22.081001196705607,0,0,0,RESCUE_DENSITY_CAP
pair_074,SetB,551.0026516259751,562.9354725990652,2,3.492104228369059,1,1,1,RETRIEVED_TOP100
pair_075,SetB,421.1876306684851,523.554354323216,-1,213.98809290844878,0,0,0,RESCUE_DENSITY_CAP
pair_076,SetB,371.649968341773,387.4210639684029,-1,28.627746338563007,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_077,SetB,569.2138246861344,478.7272095418808,13,1.4960171036491612,1,1,1,RETRIEVED_TOP100
pair_078,SetB,587.4386831359992,533.0853517555572,-1,21.809408874521544,0,0,0,RESCUE_DENSITY_CAP
pair_079,SetB,437.5161967751044,512.2563095857726,49,3.0347544745284596,0,1,1,RETRIEVED_TOP100
pair_080,SetB,401.0613179749196,456.57166489279024,-1,106.06218290013206,0,0,0,RESCUE_DENSITY_CAP
pair_081,SetB,643.564896611024,625.3431765134626,0,2.191936541643579,1,1,1,RETRIEVED_TOP100
pair_082,SetB,371.5852076185285,481.0603167121579,-1,42.40329288408629,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_083,SetB,450.98769089577416,638.523116826904,-1,445.01946179105164,0,0,0,RESCUE_DENSITY_CAP
pair_084,SetB,457.6567004118978,550.1494366937269,-1,11.277969918715584,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_085,SetB,493.2118378807493,528.2201001132426,-1,109.7121949243493,0,0,0,RESCUE_DENSITY_CAP
pair_086,SetB,457.2317665936316,402.1450954048615,-1,55.55165007902224,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_087,SetB,561.7446930867666,483.7465478031667,37,1.054467361226029,0,1,1,RETRIEVED_TOP100
pair_088,SetB,583.2712298593958,635.7661564221528,3,3.812660929043461,1,1,1,RETRIEVED_TOP100
pair_089,SetB,614.8318201722535,401.1196743368377,0,1.462743102248629,1,1,1,RETRIEVED_TOP100
pair_090,SetB,348.0227842198753,417.5201754337889,-1,9.582775020850024,0,0,0,RESCUE_DENSITY_CAP
pair_091,SetB,379.7392538864404,530.2769969644571,-1,162.73870679680135,0,0,0,RESCUE_DENSITY_CAP
pair_092,SetB,394.9167445159693,370.2205651297191,9,0.8324002028817483,1,1,1,RETRIEVED_TOP100
pair_093,SetB,567.0186268370562,513.5688143928033,1,2.544495910737596,1,1,1,RETRIEVED_TOP100
pair_094,SetB,449.5703586355875,474.1917687819448,-1,166.39546090747123,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_095,SetB,631.1139006707233,614.2538407644836,1,1.1584151354721959,1,1,1,RETRIEVED_TOP100
pair_096,SetB,505.2391638206021,450.6249223056501,95,3.8095188042811907,0,0,1,RETRIEVED_TOP100
pair_097,SetB,537.0184363712208,462.41633390964097,36,1.0528267212426177,0,1,1,RETRIEVED_TOP100
pair_098,SetB,461.6327010787445,639.9432626594256,-1,10.147984411575525,0,0,0,RESCUE_DENSITY_CAP
pair_099,SetB,416.78169962655215,408.8498950698431,0,2.4572265393667494,1,1,1,RETRIEVED_TOP100
pair_100,SetB,496.712138592475,472.12093617651897,4,0.4343871138619791,1,1,1,RETRIEVED_TOP100
pair_101,SetB,617.5774100773461,658.7671096154937,11,0.2781004616392081,1,1,1,RETRIEVED_TOP100
pair_102,SetB,558.7407932360767,654.2146527026613,-1,16.196174187608825,0,0,0,RESCUE_DENSITY_CAP
pair_103,SetB,461.1148644304402,582.1891739864284,0,2.1265026568731176,1,1,1,RETRIEVED_TOP100
pair_104,SetB,460.7330676441381,384.13561333368057,-1,105.37892551477137,0,0,0,RESCUE_SCALE_ROT_MISMATCH
