threshold,weighted_loc,loc_points,f1_rej,rej_points,false_rejects,false_accepts,rho,cal_points,total
0.6900000000000001,85.46808510638297,34.18723404255319,0.456140350877193,6.842105263157896,48,14,0.5398979388460212,5.398979388460212,79.42831869417131
0.6910000000000001,85.46808510638297,34.18723404255319,0.456140350877193,6.842105263157896,48,14,0.5398979388460212,5.398979388460212,79.42831869417131
0.6914767991653304,86.43478260869566,34.573913043478264,0.4521739130434783,6.782608695652175,49,14,0.5398979388460212,5.398979388460212,79.75550112759065
0.691838093684178,87.44444444444446,34.97777777777778,0.4482758620689655,6.724137931034483,50,14,0.5398979388460212,5.398979388460212,80.10089509727248
0.692,87.44444444444446,34.97777777777778,0.4482758620689655,6.724137931034483,50,14,0.5398979388460212,5.398979388460212,80.10089509727248
0.6921827603323059,87.44444444444446,34.97777777777778,0.4615384615384615,6.9230769230769225,50,13,0.5380302177839854,5.380302177839854,80.28115687869456
0.692268926121692,88.37626262626263,35.350505050505056,0.45762711864406785,6.864406779661018,51,13,0.5380302177839854,5.380302177839854,80.59521400800593
0.6929152920844667,88.37626262626263,35.350505050505056,0.4705882352941177,7.058823529411765,51,12,0.5366613560289087,5.366613560289087,80.77594214020591
0.6930000000000001,88.37626262626263,35.350505050505056,0.4705882352941177,7.058823529411765,51,12,0.5366613560289087,5.366613560289087,80.77594214020591
0.694,88.37626262626263,35.350505050505056,0.4705882352941177,7.058823529411765,51,12,0.5366613560289087,5.366613560289087,80.77594214020591
0.6948544631068623,88.37626262626263,35.350505050505056,0.4833333333333334,7.250000000000001,51,11,0.5355761790269656,5.355761790269656,80.95626684077472
0.6950000000000001,88.37626262626263,35.350505050505056,0.4833333333333334,7.250000000000001,51,11,0.5355761790269656,5.355761790269656,80.95626684077472
0.696,88.37626262626263,35.350505050505056,0.4833333333333334,7.250000000000001,51,11,0.5355761790269656,5.355761790269656,80.95626684077472
0.6961538146952881,89.43181818181819,35.77272727272727,0.47933884297520657,7.190082644628099,52,11,0.5355761790269656,5.355761790269656,81.31857170762503
0.6966231835538674,90.53646934460889,36.21458773784356,0.4754098360655738,7.131147540983607,53,11,0.5355761790269656,5.355761790269656,81.70149706909682
0.6970000000000001,90.53646934460889,36.21458773784356,0.4754098360655738,7.131147540983607,53,11,0.5355761790269656,5.355761790269656,81.70149706909682
0.698,90.53646934460889,36.21458773784356,0.4754098360655738,7.131147540983607,53,11,0.5355761790269656,5.355761790269656,81.70149706909682
0.698898720863152,91.51162790697676,36.6046511627907,0.4715447154471545,7.073170731707317,54,11,0.5355761790269656,5.355761790269656,82.03358368476768
0.6990000000000001,91.51162790697676,36.6046511627907,0.4715447154471545,7.073170731707317,54,11,0.5355761790269656,5.355761790269656,82.03358368476768
0.6994236222061476,92.66888150609083,37.06755260243633,0.467741935483871,7.016129032258065,55,11,0.5355761790269656,5.355761790269656,82.43944342496405
0.699977117221018,93.88258650028362,37.55303460011345,0.46399999999999997,6.959999999999999,56,11,0.5355761790269656,5.355761790269656,82.86879639038311
0.7,93.88258650028362,37.55303460011345,0.46399999999999997,6.959999999999999,56,11,0.5355761790269656,5.355761790269656,82.86879639038311
0.700740597590628,93.88258650028362,37.55303460011345,0.4761904761904763,7.142857142857144,56,10,0.535870488941841,5.3587048894184095,83.054596632389
0.7010000000000001,93.88258650028362,37.55303460011345,0.4761904761904763,7.142857142857144,56,10,0.535870488941841,5.3587048894184095,83.054596632389
0.7015166616516273,93.88258650028362,37.55303460011345,0.4881889763779527,7.322834645669291,56,9,0.5364582273640928,5.364582273640927,83.24045151942366
0.702,93.88258650028362,37.55303460011345,0.4881889763779527,7.322834645669291,56,9,0.5364582273640928,5.364582273640927,83.24045151942366
0.7030000000000001,93.88258650028362,37.55303460011345,0.4881889763779527,7.322834645669291,56,9,0.5364582273640928,5.364582273640927,83.24045151942366
0.7036397851002363,94.904181184669,37.9616724738676,0.48437499999999994,7.265624999999999,57,9,0.5364582273640928,5.364582273640927,83.59187974750853
0.704,94.904181184669,37.9616724738676,0.48437499999999994,7.265624999999999,57,9,0.5364582273640928,5.364582273640927,83.59187974750853
0.7050000000000001,94.904181184669,37.9616724738676,0.48437499999999994,7.265624999999999,57,9,0.5364582273640928,5.364582273640927,83.59187974750853
0.7055966417127737,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.706,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.7070000000000001,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.708,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.7090000000000001,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.71,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.7110000000000001,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.712,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.7130000000000001,96.17857142857144,38.47142857142858,0.4806201550387597,7.209302325581396,58,9,0.5364582273640928,5.364582273640927,84.0453131706509
0.7138123996329264,96.17857142857144,38.47142857142858,0.4923076923076923,7.384615384615384,58,8,0.5377822359595167,5.377822359595167,84.23386631563913
0.714,96.17857142857144,38.47142857142858,0.4923076923076923,7.384615384615384,58,8,0.5377822359595167,5.377822359595167,84.23386631563913
0.7150000000000001,96.17857142857144,38.47142857142858,0.4923076923076923,7.384615384615384,58,8,0.5377822359595167,5.377822359595167,84.23386631563913
0.7156125430755669,96.17857142857144,38.47142857142858,0.5038167938931297,7.557251908396946,58,7,0.53940852400529,5.394085240052901,84.42276571987843
0.716,96.17857142857144,38.47142857142858,0.5038167938931297,7.557251908396946,58,7,0.53940852400529,5.394085240052901,84.42276571987843
0.7168387533413242,97.51831501831502,39.007326007326014,0.4999999999999999,7.499999999999998,59,7,0.53940852400529,5.394085240052901,84.90141124737892
0.717,97.51831501831502,39.007326007326014,0.4999999999999999,7.499999999999998,59,7,0.53940852400529,5.394085240052901,84.90141124737892
0.718,97.51831501831502,39.007326007326014,0.4999999999999999,7.499999999999998,59,7,0.53940852400529,5.394085240052901,84.90141124737892
0.719,97.51831501831502,39.007326007326014,0.4999999999999999,7.499999999999998,59,7,0.53940852400529,5.394085240052901,84.90141124737892
